'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for STAWELL AERODROME Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
STAWELL AERODROME,01/12/2024,4.5,2.4, ,23.6,14.5,100,46,5.13,19.59
STAWELL AERODROME,02/12/2024,8.9,0.0, ,33.7,11.2,100,11,5.01,28.64
STAWELL AERODROME,03/12/2024,5.6,21.2, ,25.4,18.3,100,46,5.89,25.89
STAWELL AERODROME,04/12/2024,7.0,0.2, ,29.0,8.0,100,13,3.20,31.62
STAWELL AERODROME,05/12/2024,7.6,0.0, ,34.5,10.6,91,9,2.50,31.32
STAWELL AERODROME,06/12/2024,3.6,0.0, ,26.7,18.8,100,28,3.20,8.16
STAWELL AERODROME,07/12/2024,5.2,6.6, ,27.1,17.8,100,39,3.61,21.78
STAWELL AERODROME,08/12/2024,6.2,0.0, ,23.1,12.3,80,29,3.95,31.80
STAWELL AERODROME,09/12/2024,5.2,0.0, ,25.1,9.9,98,26,2.55,25.05
STAWELL AERODROME,10/12/2024,6.3,0.0, ,23.7,12.3,88,31,4.87,31.00
STAWELL AERODROME,11/12/2024,6.3,0.0, ,25.3,11.1,95,28,3.42,31.89
STAWELL AERODROME,12/12/2024,6.6,0.0, ,29.4,10.1,99,27,2.70,32.02
STAWELL AERODROME,13/12/2024,6.6,0.0, ,27.1,14.2,99,27,3.47,31.84
STAWELL AERODROME,14/12/2024,5.8,0.0, ,29.2,10.3,100,14,2.74,21.61
STAWELL AERODROME,15/12/2024,7.2,0.0, ,35.4,10.4,99,13,1.94,32.09
STAWELL AERODROME,16/12/2024,11.5,0.0, ,42.2,21.8,76,8,6.57,17.75
STAWELL AERODROME,17/12/2024,7.2,0.0, ,25.3,14.6,82,21,4.75,31.95
STAWELL AERODROME,18/12/2024,7.5,0.0, ,26.8,11.3,92,20,5.54,32.00
STAWELL AERODROME,19/12/2024,7.7,0.0, ,32.1,9.4,97,14,3.18,32.05
STAWELL AERODROME,20/12/2024,10.7,0.0, ,36.2,13.5,76,8,5.56,31.14
STAWELL AERODROME,21/12/2024,7.0,0.0, ,24.2,13.7,86,27,7.17,29.44
STAWELL AERODROME,22/12/2024,5.8,0.0, ,23.1,10.6,93,25,4.98,25.51
STAWELL AERODROME,23/12/2024,5.1,0.2, ,19.4,9.7,74,31,4.72,23.74
STAWELL AERODROME,24/12/2024,5.7,0.2, ,25.9,11.7,88,33,3.13,26.94
STAWELL AERODROME,25/12/2024,8.6,0.0, ,34.8,11.0,100,12,3.59,32.04
STAWELL AERODROME,26/12/2024,10.3,0.0, ,36.2,20.3,70,7,7.10,15.80
STAWELL AERODROME,27/12/2024,6.2,0.2, ,22.9,13.4,70,24,4.53,26.37
STAWELL AERODROME,28/12/2024,5.0,0.0, ,21.8,11.6,73,34,3.83,21.83
STAWELL AERODROME,29/12/2024,5.7,0.0, ,26.2,8.9,93,32,3.02,27.51
STAWELL AERODROME,30/12/2024,6.8,0.0, ,29.7,11.7,100,23,3.76,27.80
STAWELL AERODROME,31/12/2024,8.1,0.0, ,30.5,12.0,100,12,4.40,31.77
Totals:,,211.5,31, ,,,,,, 
