'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for STAWELL AERODROME Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
STAWELL AERODROME,01/01/2025,7.1,0.0, ,26.9,11.7,94,28,5.45,31.84
STAWELL AERODROME,02/01/2025,7.5,0.0, ,24.9,10.5,82,21,6.68,31.80
STAWELL AERODROME,03/01/2025,7.3,0.0, ,31.8,9.6,91,8,2.53,31.76
STAWELL AERODROME,04/01/2025,9.1,0.0, ,36.9,13.1,57,6,4.18,22.20
STAWELL AERODROME,05/01/2025,9.3,0.0, ,39.0,20.2,36,6,4.37,16.66
STAWELL AERODROME,06/01/2025,4.3,12.8, ,19.1,14.1,100,38,6.17,18.86
STAWELL AERODROME,07/01/2025,7.0,0.6, ,26.4,11.3,91,30,6.49,29.22
STAWELL AERODROME,08/01/2025,6.9,0.0, ,30.9,11.8,99,21,3.27,28.94
STAWELL AERODROME,09/01/2025,4.6,0.0, ,28.2,18.3,60,29,2.78,11.93
STAWELL AERODROME,10/01/2025,6.9,0.0, ,33.1,18.5,68,9,2.90,22.48
STAWELL AERODROME,11/01/2025,8.3,0.0, ,34.8,14.6,72,11,3.46,28.99
STAWELL AERODROME,12/01/2025,3.9,0.0, ,28.7,19.4,97,35,2.84,10.98
STAWELL AERODROME,13/01/2025,7.0,0.6, ,31.9,12.6,100,25,3.41,28.92
STAWELL AERODROME,14/01/2025,7.9,0.0, ,35.6,14.9,99,13,2.80,31.10
STAWELL AERODROME,15/01/2025,6.5,0.0, ,25.3,21.0,60,26,4.56,21.36
STAWELL AERODROME,16/01/2025,5.1,0.0, ,23.5,9.2,85,34,4.29,21.44
STAWELL AERODROME,17/01/2025,7.5,0.0, ,28.2,14.2,98,21,5.71,29.62
STAWELL AERODROME,18/01/2025, ,0.0, ,32.1,12.3, , , ,30.61
STAWELL AERODROME,19/01/2025,7.7,0.0, ,35.4,13.5,63,13,2.96,26.32
STAWELL AERODROME,20/01/2025,6.9,0.0, ,35.2,18.6,49,14,2.91,19.32
STAWELL AERODROME,21/01/2025,8.9,0.0, ,35.4,15.8,97,19,4.87,29.67
STAWELL AERODROME,22/01/2025,7.6,0.0, ,26.3,14.1,84,25,8.12,26.96
STAWELL AERODROME,23/01/2025,3.6,0.0, ,18.5,11.5,79,48,5.61,11.80
STAWELL AERODROME,24/01/2025,6.7,0.0, ,26.3,10.8,86,29,5.06,29.77
STAWELL AERODROME,25/01/2025,7.0,0.0, ,30.5,13.5,99,16,3.92,26.09
STAWELL AERODROME,26/01/2025,7.3,0.0, ,31.6,14.9,92,24,3.72,29.35
STAWELL AERODROME,27/01/2025,10.7,0.0, ,39.8,16.2,89,9,5.94,22.74
STAWELL AERODROME,28/01/2025,6.6,0.0, ,24.9,14.6,97,24,6.71,26.88
STAWELL AERODROME,29/01/2025,7.1,0.0, ,24.9,11.8,77,25,6.66,28.65
STAWELL AERODROME,30/01/2025,7.3,0.0, ,25.2,11.7,68,26,6.77,28.71
STAWELL AERODROME,31/01/2025,8.0,0.0, ,28.8,12.5,85,21,6.59,28.78
Totals:,,211.6,14, ,,,,,, 
