'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for STAWELL AERODROME Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
STAWELL AERODROME,01/02/2025,7.8,0.0, ,36.7,10.6,99,12,2.93,28.54
STAWELL AERODROME,02/02/2025,9.7,0.0, ,39.8,17.3,89,18,5.30,24.73
STAWELL AERODROME,03/02/2025,7.5,5.4, ,36.8,19.8,99,23,4.08,23.14
STAWELL AERODROME,04/02/2025,9.0,0.0, ,36.2,19.6,81,25,5.47,27.79
STAWELL AERODROME,05/02/2025,8.0,0.0, ,27.7,13.3,86,17,6.97,28.06
STAWELL AERODROME,06/02/2025,7.2,0.0, ,34.7,14.0,100,15,2.94,27.82
STAWELL AERODROME,07/02/2025,6.7,0.0, ,27.5,16.1,79,35,5.90,25.21
STAWELL AERODROME,08/02/2025,6.6,0.0, ,24.9,13.6,91,29,7.29,26.96
STAWELL AERODROME,09/02/2025,5.5,0.0, ,25.7,15.9,89,45,7.02,20.70
STAWELL AERODROME,10/02/2025,7.1,0.0, ,30.1,16.8,87,28,5.17,25.85
STAWELL AERODROME,11/02/2025,7.0,0.0, ,33.9,15.3,99,19,3.19,26.99
STAWELL AERODROME,12/02/2025,7.2,0.0, ,37.0,15.5,86,13,2.49,26.90
STAWELL AERODROME,13/02/2025,7.3,0.0, ,33.0,24.6,59,25,6.04,9.96
STAWELL AERODROME,14/02/2025,5.3,0.0, ,25.4,12.3,88,29,3.82,22.50
STAWELL AERODROME,15/02/2025,4.4,0.0, ,17.8,12.4,86,29,5.56,18.79
STAWELL AERODROME,16/02/2025,4.8,0.0, ,20.0,8.3,81,27,4.91,20.74
STAWELL AERODROME,17/02/2025,5.3,0.0, ,26.3,5.7,89,15,2.58,24.85
STAWELL AERODROME,18/02/2025,5.3,0.0, ,23.3,8.1,87,35,5.29,23.80
STAWELL AERODROME,19/02/2025,5.2,0.0, ,21.4,12.1,86,38,7.10,22.20
STAWELL AERODROME,20/02/2025,6.4,0.0, ,24.5,11.8,86,26,6.66,25.35
STAWELL AERODROME,21/02/2025,6.5,0.0, ,32.1,6.9,99,19,3.15,25.12
STAWELL AERODROME,22/02/2025,9.5,0.0, ,38.4,13.4,61,8,4.59,24.02
STAWELL AERODROME,23/02/2025,6.7,0.0, ,28.2,21.2,60,14,3.88,22.56
STAWELL AERODROME,24/02/2025,5.9,0.0, ,26.1,11.3,90,28,4.78,24.52
STAWELL AERODROME,25/02/2025,5.7,0.0, ,33.1,10.2,99,6,2.00,24.23
STAWELL AERODROME,26/02/2025,7.7,0.0, ,34.9,11.9,88,8,3.94,22.62
STAWELL AERODROME,27/02/2025,7.2,0.0, ,32.1,16.1,89,11,4.18,23.51
STAWELL AERODROME,28/02/2025,6.0,0.0, ,29.7,17.5,76,26,3.28,23.64
Totals:,,188.5,5.4, ,,,,,, 
