'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for STAWELL AERODROME Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
STAWELL AERODROME,01/03/2025,5.8,0.0, ,29.5,10.4,99,18,3.23,23.78
STAWELL AERODROME,02/03/2025,5.0,0.0, ,23.8,14.6,90,35,5.95,18.36
STAWELL AERODROME,03/03/2025,6.5,0.0, ,26.0,10.9,87,21,6.17,23.43
STAWELL AERODROME,04/03/2025,5.6,0.0, ,32.5,10.2,95,12,2.23,23.13
STAWELL AERODROME,05/03/2025,7.7,0.0, ,34.4,14.3,83,17,4.66,22.89
STAWELL AERODROME,06/03/2025,6.3,0.0, ,28.1,15.4,88,31,6.73,19.80
STAWELL AERODROME,07/03/2025,5.8,0.0, ,32.5,16.0,90,22,2.92,22.43
STAWELL AERODROME,08/03/2025,6.1,0.0, ,32.6,14.6,81,16,2.97,22.21
STAWELL AERODROME,09/03/2025,5.6,0.0, ,33.9,18.8,100,23,3.96,14.23
STAWELL AERODROME,10/03/2025,5.5,7.4, ,32.5,16.9,100,32,3.14,22.07
STAWELL AERODROME,11/03/2025,5.0,36.2, ,31.4,18.9,82,35,2.81,18.73
STAWELL AERODROME,12/03/2025,5.9,0.0, ,33.6,21.6,96,28,3.66,20.08
STAWELL AERODROME,13/03/2025,5.6,0.0, ,29.9,15.4,91,24,3.55,21.53
STAWELL AERODROME,14/03/2025,5.1,0.0, ,33.6,11.6,100,11,1.94,21.36
STAWELL AERODROME,15/03/2025,7.6,0.0, ,38.6,16.6,73,11,3.81,17.89
STAWELL AERODROME,16/03/2025,3.1,1.6, ,21.4,19.5,96,43,4.88,7.88
STAWELL AERODROME,17/03/2025,4.0,0.4, ,19.8,8.4,86,33,4.46,18.74
STAWELL AERODROME,18/03/2025,3.8,0.0, ,24.9,6.6,99,24,1.87,20.36
STAWELL AERODROME,19/03/2025,5.3,0.0, ,30.4,7.7,98,9,2.73,20.01
STAWELL AERODROME,20/03/2025,3.1,0.0, ,23.4,14.0,100,29,3.54,6.25
STAWELL AERODROME,21/03/2025,3.2,10.4, ,20.6,13.2,100,46,3.59,16.36
STAWELL AERODROME,22/03/2025,3.8,0.0, ,23.2,7.7,100,30,2.80,19.64
STAWELL AERODROME,23/03/2025,4.2,0.0, ,24.6,11.5,96,34,3.74,18.65
STAWELL AERODROME,24/03/2025,4.6,0.0, ,23.8,12.3,99,33,5.44,18.84
STAWELL AERODROME,25/03/2025,5.2,0.0, ,28.1,12.9,98,22,4.19,19.02
STAWELL AERODROME,26/03/2025,4.8,0.0, ,25.7,12.9,99,33,5.24,18.53
STAWELL AERODROME,27/03/2025,5.5,0.0, ,28.2,12.6,91,23,4.68,18.60
STAWELL AERODROME,28/03/2025,3.2,0.0, ,28.2,11.1,99,35,1.80,14.14
STAWELL AERODROME,29/03/2025,4.3,0.0, ,23.9,15.9,89,40,6.10,13.51
STAWELL AERODROME,30/03/2025,4.4,0.0, ,22.9,13.1,99,42,8.03,17.27
STAWELL AERODROME,31/03/2025,4.5,0.0, ,21.1,13.2,87,39,7.70,16.80
Totals:,,156.1,56, ,,,,,, 
