'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWAN HILL AERODROME Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWAN HILL AERODROME,01/09/2024,4.8,0.0, ,22.5,7.6,77,39,7.77,16.72
SWAN HILL AERODROME,02/09/2024,4.4,0.2, ,17.5,8.9,91,32,11.10,15.09
SWAN HILL AERODROME,03/09/2024,2.8,0.0, ,18.8,2.4,94,41,2.71,17.33
SWAN HILL AERODROME,04/09/2024,5.3,0.0, ,24.6,4.4,83,20,5.28,17.58
SWAN HILL AERODROME,05/09/2024,5.8,0.0, ,27.2,12.9,42,17,4.79,9.52
SWAN HILL AERODROME,06/09/2024,7.3,0.0, ,31.2,17.8,93,25,8.43,17.60
SWAN HILL AERODROME,07/09/2024,3.4,1.4, ,20.1,7.4,98,32,3.44,17.86
SWAN HILL AERODROME,08/09/2024,3.9,0.0, ,21.5,2.8,95,39,5.51,17.24
SWAN HILL AERODROME,09/09/2024,3.3,0.0, ,20.5,7.9,95,44,4.63,15.11
SWAN HILL AERODROME,10/09/2024,2.8,0.0, ,22.7,1.4,97,35,1.44,18.18
SWAN HILL AERODROME,11/09/2024,4.3,0.0, ,24.2,6.3,92,34,4.69,15.50
SWAN HILL AERODROME,12/09/2024,4.0,5.0, ,19.0,5.9,86,33,5.55,19.03
SWAN HILL AERODROME,13/09/2024,3.5,0.0, ,20.5,3.2,91,40,3.48,19.23
SWAN HILL AERODROME,14/09/2024,3.4,0.0, ,17.0,3.3,93,33,4.97,16.27
SWAN HILL AERODROME,15/09/2024,3.4,0.0, ,16.8,0.8,89,33,4.30,19.44
SWAN HILL AERODROME,16/09/2024,3.3,0.0, ,18.0,-1.5,93,37,3.62,19.74
SWAN HILL AERODROME,17/09/2024,3.5,0.0, ,20.1,0.0,96,28,2.84,19.92
SWAN HILL AERODROME,18/09/2024,7.1,0.0, ,26.0,0.1,84,11,6.82,20.09
SWAN HILL AERODROME,19/09/2024,4.5,0.0, ,20.7,2.5,86,32,6.40,17.16
SWAN HILL AERODROME,20/09/2024,4.1,0.0, ,20.4,2.8,94,37,6.38,16.34
SWAN HILL AERODROME,21/09/2024,3.7,0.0, ,20.6,6.1,95,45,5.38,17.35
SWAN HILL AERODROME,22/09/2024,4.4,0.0, ,22.5,6.2,96,35,5.11,19.65
SWAN HILL AERODROME,23/09/2024,4.1,0.0, ,24.1,4.6,96,32,2.99,20.54
SWAN HILL AERODROME,24/09/2024,5.0,0.0, ,26.5,8.5,83,19,4.55,9.72
SWAN HILL AERODROME,25/09/2024,3.0,0.0, ,19.8,13.4,91,44,4.13,10.00
SWAN HILL AERODROME,26/09/2024,4.4,5.4, ,18.8,5.1,82,31,5.60,21.63
SWAN HILL AERODROME,27/09/2024,3.8,0.0, ,21.2,1.7,91,27,2.51,21.77
SWAN HILL AERODROME,28/09/2024,5.5,0.0, ,25.0,6.3,79,26,5.05,20.04
SWAN HILL AERODROME,29/09/2024,2.1,1.8, ,15.2,12.7,95,52,4.11,6.22
SWAN HILL AERODROME,30/09/2024,4.1,4.8, ,22.1,4.4,94,36,3.74,19.97
Totals:,,125,18.6, ,,,,,, 
