'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWAN HILL AERODROME Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWAN HILL AERODROME,01/10/2024,4.3,0.0, ,22.6,5.9,96,35,3.96,20.64
SWAN HILL AERODROME,02/10/2024,4.3,0.0, ,23.5,5.0,95,24,2.51,22.70
SWAN HILL AERODROME,03/10/2024,6.4,0.0, ,28.9,6.7,91,26,5.43,21.42
SWAN HILL AERODROME,04/10/2024,6.8,0.0, ,27.9,17.6,83,25,7.57,17.45
SWAN HILL AERODROME,05/10/2024,4.9,0.0, ,23.8,6.7,94,33,5.91,16.64
SWAN HILL AERODROME,06/10/2024,5.3,0.0, ,24.4,8.0,93,33,6.16,19.52
SWAN HILL AERODROME,07/10/2024,5.3,0.0, ,26.0,7.2,88,37,5.50,19.74
SWAN HILL AERODROME,08/10/2024,4.3,0.0, ,19.3,3.0,87,27,4.09,22.62
SWAN HILL AERODROME,09/10/2024,4.4,0.0, ,23.5,1.7,87,22,2.28,23.73
SWAN HILL AERODROME,10/10/2024,6.6,0.0, ,28.7,6.2,75,13,3.93,23.82
SWAN HILL AERODROME,11/10/2024,5.4,0.0, ,23.4,6.3,82,26,4.76,23.91
SWAN HILL AERODROME,12/10/2024,5.6,0.0, ,25.1,5.5,85,12,3.50,23.59
SWAN HILL AERODROME,13/10/2024,5.7,0.0, ,27.9,6.1,80,19,3.52,21.09
SWAN HILL AERODROME,14/10/2024,6.0,0.0, ,30.6,10.2,68,20,3.28,20.14
SWAN HILL AERODROME,15/10/2024,3.4,0.0, ,25.0,12.6,91,49,4.04,10.26
SWAN HILL AERODROME,16/10/2024,4.2,8.2, ,26.2,16.1,91,50,4.52,15.71
SWAN HILL AERODROME,17/10/2024, ,0.0, , ,15.3,96,52,5.05,14.63
SWAN HILL AERODROME,18/10/2024,4.4, , ,24.7,18.6,97,56,9.34,16.05
SWAN HILL AERODROME,19/10/2024,5.7,0.2, ,24.7,12.5,88,33,5.38,24.02
SWAN HILL AERODROME,20/10/2024,5.4,0.0, ,26.3,8.8,92,33,3.76,24.70
SWAN HILL AERODROME,21/10/2024,5.3,0.0, ,29.8,8.8,91,26,2.05,25.46
SWAN HILL AERODROME,22/10/2024,6.9,0.0, ,34.0,11.2,89,17,3.31,23.12
SWAN HILL AERODROME,23/10/2024,6.3,0.2, ,25.8,13.3,89,21,6.10,20.42
SWAN HILL AERODROME,24/10/2024,5.6,0.0, ,21.6,7.4,86,25,6.31,23.87
SWAN HILL AERODROME,25/10/2024,5.1,0.0, ,21.3,5.7,86,23,4.04,25.56
SWAN HILL AERODROME,26/10/2024,5.3,0.0, ,24.9,6.8,70,22,2.73,25.14
SWAN HILL AERODROME,27/10/2024,8.8,0.0, ,32.1,13.8,69,15,5.95,24.85
SWAN HILL AERODROME,28/10/2024,6.0,0.0, ,25.4,9.0,83,23,4.21,26.25
SWAN HILL AERODROME,29/10/2024,6.3,0.0, ,27.6,7.3,84,20,3.72,26.49
SWAN HILL AERODROME,30/10/2024,6.4,0.0, ,29.4,8.0,90,21,3.49,26.44
SWAN HILL AERODROME,31/10/2024,6.1,0.0, ,25.5,11.3,82,28,4.62,25.80
Totals:,,166.5,8.6, ,,,,,, 
