'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWAN HILL AERODROME Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWAN HILL AERODROME,01/12/2024,6.6,13.8, ,27.2,15.0,95,34,5.04,29.48
SWAN HILL AERODROME,02/12/2024,7.7,0.0, ,35.0,13.9,95,22,3.97,25.52
SWAN HILL AERODROME,03/12/2024,7.2,16.6, ,31.8,19.9,96,39,7.03,23.87
SWAN HILL AERODROME,04/12/2024,7.2,0.0, ,30.6,11.8,78,13,2.74,31.70
SWAN HILL AERODROME,05/12/2024,8.4,0.0, ,37.4,15.0,82,18,2.93,31.69
SWAN HILL AERODROME,06/12/2024,7.7,0.0, ,39.3,19.9,92,29,4.67,18.54
SWAN HILL AERODROME,07/12/2024,8.2,3.0, ,35.2,19.2,96,35,5.27,28.73
SWAN HILL AERODROME,08/12/2024,7.4,0.0, ,27.4,12.8,84,23,4.83,32.03
SWAN HILL AERODROME,09/12/2024,5.4,0.0, ,26.6,14.7,70,29,2.91,20.95
SWAN HILL AERODROME,10/12/2024,7.6,0.0, ,29.4,13.7,78,16,3.88,30.79
SWAN HILL AERODROME,11/12/2024,7.6,0.0, ,28.9,11.4,85,21,4.29,32.06
SWAN HILL AERODROME,12/12/2024, ,0.0, , ,13.9,79,23,3.46,32.10
SWAN HILL AERODROME,13/12/2024, , , ,32.1, ,82,23,4.21,31.87
SWAN HILL AERODROME,14/12/2024,7.8,0.0, ,35.4,14.7,78,18,3.34,26.66
SWAN HILL AERODROME,15/12/2024,8.9,0.0, ,38.5,16.7,71,18,3.03,32.15
SWAN HILL AERODROME,16/12/2024,14.1,0.0, ,45.0,23.8,46,12,6.78,27.62
SWAN HILL AERODROME,17/12/2024,10.0,0.0, ,29.9,18.8,65,18,7.95,31.41
SWAN HILL AERODROME,18/12/2024,8.5,0.0, ,29.9,11.8,71,18,5.10,32.11
SWAN HILL AERODROME,19/12/2024,8.7,0.0, ,32.9,13.6,70,17,4.15,32.07
SWAN HILL AERODROME,20/12/2024,9.2,0.0, ,37.3,15.9,50,12,3.40,31.75
SWAN HILL AERODROME,21/12/2024,8.9,0.0, ,31.0,14.6,70,18,5.45,31.53
SWAN HILL AERODROME,22/12/2024,8.8,0.0, ,29.2,11.3,70,17,6.32,30.85
SWAN HILL AERODROME,23/12/2024,7.7,0.0, ,25.2,9.8,74,23,7.17,30.59
SWAN HILL AERODROME,24/12/2024,7.0,0.0, ,29.6,10.2,65,28,2.98,31.99
SWAN HILL AERODROME,25/12/2024,8.5,0.0, ,36.4,15.3,69,17,3.03,31.97
SWAN HILL AERODROME,26/12/2024,13.4,0.0, ,40.3,21.7,53,10,8.27,22.51
SWAN HILL AERODROME,27/12/2024,8.3,0.0, ,27.3,13.9,66,19,7.49,25.37
SWAN HILL AERODROME,28/12/2024,7.3,0.0, ,27.7,8.7,66,29,5.98,26.23
SWAN HILL AERODROME,29/12/2024,7.5,0.0, ,29.6,12.0,74,25,3.85,31.83
SWAN HILL AERODROME,30/12/2024,8.0,0.0, ,33.2,14.2,69,21,4.02,27.37
SWAN HILL AERODROME,31/12/2024,8.8,0.0, ,34.7,15.9,80,14,3.85,31.70
Totals:,,242.4,33.4, ,,,,,, 
