'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SWAN HILL AERODROME Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SWAN HILL AERODROME,01/02/2025,9.6,0.0, ,40.1,16.4,66,21,4.35,27.82
SWAN HILL AERODROME,02/02/2025,11.2,0.0, ,41.0,22.0,83,24,7.37,25.21
SWAN HILL AERODROME,03/02/2025,7.7,7.2, ,37.3,22.8,71,28,5.01,16.88
SWAN HILL AERODROME,04/02/2025,9.0,23.6, ,39.9,21.7,89,24,4.88,24.80
SWAN HILL AERODROME,05/02/2025,7.7,0.6, ,34.0,17.9,81,26,4.04,27.88
SWAN HILL AERODROME,06/02/2025,7.6,0.0, ,39.2,17.2,81,23,2.87,26.11
SWAN HILL AERODROME,07/02/2025,9.2,0.0, ,38.0,21.9,72,16,4.78,24.59
SWAN HILL AERODROME,08/02/2025,8.0,0.0, ,31.8,16.1,73,17,4.59,27.41
SWAN HILL AERODROME,09/02/2025,6.6,0.0, ,31.6,14.9,82,19,3.04,25.37
SWAN HILL AERODROME,10/02/2025,8.2,0.0, ,34.0,17.9,78,23,4.93,26.68
SWAN HILL AERODROME,11/02/2025,7.2,0.0, ,35.2,18.5,74,25,3.09,26.71
SWAN HILL AERODROME,12/02/2025,7.8,0.0, ,38.1,18.8,65,20,2.94,26.65
SWAN HILL AERODROME,13/02/2025,9.8,0.0, ,38.5,24.9,51,29,7.23,15.70
SWAN HILL AERODROME,14/02/2025,7.7,0.0, ,28.8,14.9,80,25,7.26,23.58
SWAN HILL AERODROME,15/02/2025,7.1,0.0, ,24.5,11.7,63,21,7.57,20.81
SWAN HILL AERODROME,16/02/2025,6.1,0.0, ,23.6,9.1,68,19,4.44,25.87
SWAN HILL AERODROME,17/02/2025,5.8,0.0, ,27.4,8.3,74,16,2.92,25.16
SWAN HILL AERODROME,18/02/2025,7.5,0.0, ,29.5,11.2,52,15,4.40,25.53
SWAN HILL AERODROME,19/02/2025,6.7,0.0, ,27.7,10.5,69,25,4.75,25.28
SWAN HILL AERODROME,20/02/2025,7.1,0.0, ,29.0,11.6,71,21,4.78,25.12
SWAN HILL AERODROME,21/02/2025,7.4,0.0, ,35.0,13.5,70,21,3.60,24.87
SWAN HILL AERODROME,22/02/2025,12.0,0.0, ,40.8,18.9,54,15,6.98,23.90
SWAN HILL AERODROME,23/02/2025,9.4,0.0, ,33.5,23.1,69,22,7.43,23.98
SWAN HILL AERODROME,24/02/2025,6.6,0.0, ,30.7,13.6,73,23,3.81,24.36
SWAN HILL AERODROME,25/02/2025,6.7,0.0, ,34.5,13.2,79,15,2.87,23.98
SWAN HILL AERODROME,26/02/2025,8.6,0.0, ,38.4,14.1,59,9,3.77,23.87
SWAN HILL AERODROME,27/02/2025,7.7,0.0, ,35.6,16.0,67,19,4.03,22.94
SWAN HILL AERODROME,28/02/2025,6.7,0.0, ,33.3,19.1,46,22,3.36,20.02
Totals:,,222.7,31.4, ,,,,,, 
