'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TATURA INST SUSTAINABLE AG Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TATURA INST SUSTAINABLE AG,01/09/2024,2.8,0.0, ,18.3,8.7,83,55,5.33,11.43
TATURA INST SUSTAINABLE AG,02/09/2024,3.5,0.0, ,15.1,9.2,94,35,8.16,16.02
TATURA INST SUSTAINABLE AG,03/09/2024,2.2,0.0, ,16.3,1.3,100,48,2.09,16.21
TATURA INST SUSTAINABLE AG,04/09/2024,3.1,0.0, ,19.1,2.4,100,41,3.96,17.09
TATURA INST SUSTAINABLE AG,05/09/2024,2.3,0.4, ,19.0,10.2,80,58,4.55,4.30
TATURA INST SUSTAINABLE AG,06/09/2024,5.6,0.2, ,29.4,12.9,100,27,5.82,15.04
TATURA INST SUSTAINABLE AG,07/09/2024,2.8,1.8, ,18.2,5.3,100,37,2.88,17.25
TATURA INST SUSTAINABLE AG,08/09/2024,2.7,0.0, ,18.4,4.5,100,47,4.02,13.37
TATURA INST SUSTAINABLE AG,09/09/2024,2.4,0.4, ,17.4,8.2,100,51,3.97,11.83
TATURA INST SUSTAINABLE AG,10/09/2024,2.5,0.0, ,19.8,1.7,100,48,1.59,17.96
TATURA INST SUSTAINABLE AG,11/09/2024,3.1,0.0, ,21.9,5.5,100,46,3.19,15.97
TATURA INST SUSTAINABLE AG,12/09/2024,3.6,0.0, ,16.7,8.1,89,39,6.19,18.60
TATURA INST SUSTAINABLE AG,13/09/2024,2.5,0.0, ,17.7,3.5,100,57,2.72,18.54
TATURA INST SUSTAINABLE AG,14/09/2024,2.5,0.0, ,14.6,2.1,100,47,4.46,14.56
TATURA INST SUSTAINABLE AG,15/09/2024,2.9,0.0, ,14.6,2.2,100,37,4.35,18.82
TATURA INST SUSTAINABLE AG,16/09/2024,2.5,0.0, ,15.8,1.4,98,47,3.78,13.49
TATURA INST SUSTAINABLE AG,17/09/2024,2.8,0.0, ,18.0,0.3,100,37,2.48,17.73
TATURA INST SUSTAINABLE AG,18/09/2024,4.8,0.0, ,22.3,-1.0,100,13,4.25,19.72
TATURA INST SUSTAINABLE AG,19/09/2024,3.7,0.0, ,18.5,3.3,94,33,5.68,15.11
TATURA INST SUSTAINABLE AG,20/09/2024,2.9,0.0, ,17.8,3.2,100,50,5.03,14.81
TATURA INST SUSTAINABLE AG,21/09/2024,3.6,1.6, ,18.7,7.7,100,36,5.25,16.63
TATURA INST SUSTAINABLE AG,22/09/2024,3.0,0.0, ,19.3,7.2,100,43,4.08,13.41
TATURA INST SUSTAINABLE AG,23/09/2024,3.6,0.0, ,21.6,3.9,100,38,3.05,19.56
TATURA INST SUSTAINABLE AG,24/09/2024,3.9,0.0, ,25.7,6.7,100,24,2.78,14.18
TATURA INST SUSTAINABLE AG,25/09/2024,2.5,0.2, ,18.2,13.5,86,56,3.96,8.97
TATURA INST SUSTAINABLE AG,26/09/2024,4.5,0.0, ,16.7,8.6,66,36,6.64,21.00
TATURA INST SUSTAINABLE AG,27/09/2024,3.3,0.0, ,19.2,1.6,98,29,2.01,21.37
TATURA INST SUSTAINABLE AG,28/09/2024,3.9,0.0, ,21.2,3.3,100,35,3.72,20.92
TATURA INST SUSTAINABLE AG,29/09/2024,1.6,0.0, ,15.5,11.1,100,64,3.46,5.13
TATURA INST SUSTAINABLE AG,30/09/2024,3.3,8.8, ,20.2,5.7,100,38,1.91,20.93
Totals:,,94.4,13.4, ,,,,,, 
