'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TATURA INST SUSTAINABLE AG Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TATURA INST SUSTAINABLE AG,01/10/2024,3.6,0.0, ,21.3,4.5,100,40,3.00,20.14
TATURA INST SUSTAINABLE AG,02/10/2024,4.2,0.0, ,23.3,5.4,100,35,3.14,22.30
TATURA INST SUSTAINABLE AG,03/10/2024,4.9,0.0, ,25.3,7.5,100,32,4.25,21.29
TATURA INST SUSTAINABLE AG,04/10/2024,2.9,4.0, ,20.4,12.9,100,54,4.79,12.56
TATURA INST SUSTAINABLE AG,05/10/2024, ,2.0, , ,8.4,100,46,3.92,16.45
TATURA INST SUSTAINABLE AG,06/10/2024,4.4, , ,21.4,10.5,100,37,5.24,21.16
TATURA INST SUSTAINABLE AG,07/10/2024,3.6,0.0, ,22.8,7.9,100,46,4.82,13.18
TATURA INST SUSTAINABLE AG,08/10/2024,3.6,0.0, ,16.4,4.5,100,39,4.38,23.47
TATURA INST SUSTAINABLE AG,09/10/2024,4.0,0.0, ,20.9,3.7,95,31,2.46,23.72
TATURA INST SUSTAINABLE AG,10/10/2024,4.9,0.0, ,25.0,6.8,93,32,3.45,23.84
TATURA INST SUSTAINABLE AG,11/10/2024,4.8,0.0, ,20.3,8.4,83,34,5.36,24.03
TATURA INST SUSTAINABLE AG,12/10/2024,5.1,0.0, ,22.6,8.9,85,28,4.18,24.20
TATURA INST SUSTAINABLE AG,13/10/2024,5.4,0.0, ,24.7,6.9,95,17,3.73,23.67
TATURA INST SUSTAINABLE AG,14/10/2024,5.2,0.0, ,26.9,13.1,92,26,2.91,23.37
TATURA INST SUSTAINABLE AG,15/10/2024,5.1,0.0, ,26.2,12.5,91,38,4.58,20.39
TATURA INST SUSTAINABLE AG,16/10/2024,4.4,0.0, ,24.2,13.9,95,46,3.61,21.25
TATURA INST SUSTAINABLE AG,17/10/2024, ,0.0, , ,13.6,99,46,4.47,16.15
TATURA INST SUSTAINABLE AG,18/10/2024,3.1, , ,23.7,17.3,100,65,6.22,12.45
TATURA INST SUSTAINABLE AG,19/10/2024,4.5,8.4, ,20.6,14.0,92,41,5.14,22.08
TATURA INST SUSTAINABLE AG,20/10/2024,4.8,0.2, ,22.6,10.6,92,47,5.30,25.33
TATURA INST SUSTAINABLE AG,21/10/2024,5.1,0.0, ,27.1,9.5,100,30,2.51,25.83
TATURA INST SUSTAINABLE AG,22/10/2024,5.4,0.0, ,30.2,10.7,100,25,2.81,21.72
TATURA INST SUSTAINABLE AG,23/10/2024,5.0,0.0, ,24.0,13.6,96,21,4.22,18.51
TATURA INST SUSTAINABLE AG,24/10/2024,4.4,0.2, ,19.1,6.9,96,29,4.21,23.42
TATURA INST SUSTAINABLE AG,25/10/2024,4.4,0.0, ,17.4,7.4,90,32,4.39,25.20
TATURA INST SUSTAINABLE AG,26/10/2024,4.6,0.0, ,22.5,0.5,100,18,2.18,26.26
TATURA INST SUSTAINABLE AG,27/10/2024,6.8,0.0, ,29.6,7.9,81,16,3.81,25.46
TATURA INST SUSTAINABLE AG,28/10/2024,5.6,0.0, ,20.9,10.8,80,26,5.16,26.70
TATURA INST SUSTAINABLE AG,29/10/2024,5.4,0.0, ,23.6,8.2,89,31,4.03,26.91
TATURA INST SUSTAINABLE AG,30/10/2024,6.2,0.0, ,27.1,9.3,95,19,3.68,27.05
TATURA INST SUSTAINABLE AG,31/10/2024,4.8,0.0, ,21.7,11.4,94,36,4.27,24.39
Totals:,,136.2,14.8, ,,,,,, 
