'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TATURA INST SUSTAINABLE AG Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TATURA INST SUSTAINABLE AG,01/11/2024,5.2,0.0, ,20.2,8.1,84,33,4.99,27.22
TATURA INST SUSTAINABLE AG,02/11/2024,6.2,0.0, ,27.1,6.0,96,13,3.67,25.11
TATURA INST SUSTAINABLE AG,03/11/2024,8.4,0.0, ,31.2,14.0,63,16,5.78,23.50
TATURA INST SUSTAINABLE AG,04/11/2024,5.6,0.0, ,23.2,12.3,72,31,4.08,25.72
TATURA INST SUSTAINABLE AG,05/11/2024,5.4,0.0, ,27.1,7.7,98,20,2.30,26.51
TATURA INST SUSTAINABLE AG,06/11/2024,8.2,0.0, ,36.1,13.0,78,16,4.38,21.54
TATURA INST SUSTAINABLE AG,07/11/2024,5.3,0.0, ,23.6,12.1,87,30,4.60,21.83
TATURA INST SUSTAINABLE AG,08/11/2024,4.6,0.0, ,21.6,7.1,94,31,4.42,20.25
TATURA INST SUSTAINABLE AG,09/11/2024,3.7,0.0, ,20.9,5.8,92,29,2.47,16.89
TATURA INST SUSTAINABLE AG,10/11/2024,5.5,0.0, ,24.6,6.2,88,25,2.91,28.10
TATURA INST SUSTAINABLE AG,11/11/2024,5.8,0.0, ,28.8,7.5,97,24,2.68,26.26
TATURA INST SUSTAINABLE AG,12/11/2024,4.3,0.0, ,28.8,14.8,83,27,2.61,11.98
TATURA INST SUSTAINABLE AG,13/11/2024,4.2,0.8, ,25.3,14.0,100,56,3.58,20.41
TATURA INST SUSTAINABLE AG,14/11/2024,6.4,0.4, ,24.4,10.1,88,23,5.13,28.75
TATURA INST SUSTAINABLE AG,15/11/2024,6.1,0.0, ,26.6,8.0,81,14,2.71,28.77
TATURA INST SUSTAINABLE AG,16/11/2024,8.6,0.0, ,34.7,6.5,100,16,4.50,27.72
TATURA INST SUSTAINABLE AG,17/11/2024,6.4,4.4, ,26.9,20.2,93,24,7.78,15.20
TATURA INST SUSTAINABLE AG,18/11/2024,5.8,0.0, ,22.9,9.1,84,29,4.44,28.58
TATURA INST SUSTAINABLE AG,19/11/2024,6.3,0.0, ,25.0,9.3,81,22,4.01,29.21
TATURA INST SUSTAINABLE AG,20/11/2024,6.8,0.0, ,28.3,9.3,80,18,3.43,28.84
TATURA INST SUSTAINABLE AG,21/11/2024, ,0.0, , ,10.4,95,14,3.07,29.04
TATURA INST SUSTAINABLE AG,22/11/2024, , , ,36.1, ,90,15,2.91,27.78
TATURA INST SUSTAINABLE AG,23/11/2024, ,0.0, , ,21.1,50,15,4.44,21.51
TATURA INST SUSTAINABLE AG,24/11/2024,2.3, , ,21.6,20.4,100,50,2.77,6.35
TATURA INST SUSTAINABLE AG,25/11/2024,1.7,25.2, ,21.9,18.8,100,88,1.94,7.81
TATURA INST SUSTAINABLE AG,26/11/2024,5.0,1.4, ,29.7,18.0,100,52,2.51,22.73
TATURA INST SUSTAINABLE AG,27/11/2024, ,15.6, , ,19.6,100,42,5.51,22.83
TATURA INST SUSTAINABLE AG,28/11/2024, , , ,28.8, ,100,32,2.35,30.21
TATURA INST SUSTAINABLE AG,29/11/2024,7.0,0.0, ,33.1,15.8,100,29,3.12,28.87
TATURA INST SUSTAINABLE AG,30/11/2024, ,28.4, ,24.5,18.4,100,71,3.23, 
Totals:,,134.8,76.2, ,,,,,, 
