'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for TATURA INST SUSTAINABLE AG Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
TATURA INST SUSTAINABLE AG,01/12/2024,6.1,14.2, ,25.9,17.2,100,33,4.21,28.29
TATURA INST SUSTAINABLE AG,02/12/2024,6.7,0.2, ,31.1,13.6,100,24,2.93,28.98
TATURA INST SUSTAINABLE AG,03/12/2024,6.5,9.4, ,30.9,19.7,100,38,5.89,22.14
TATURA INST SUSTAINABLE AG,04/12/2024, ,0.0, , ,12.1,80,17,3.50,31.59
TATURA INST SUSTAINABLE AG,05/12/2024, , , ,35.1, ,100,24,2.38,31.33
TATURA INST SUSTAINABLE AG,06/12/2024,7.5,0.0, ,36.4,21.0,92,30,4.08,24.02
TATURA INST SUSTAINABLE AG,07/12/2024,6.6, , ,32.7,19.3,100,34,3.94,24.13
TATURA INST SUSTAINABLE AG,08/12/2024,6.5,0.4, ,24.6,12.0,83,29,4.05,31.84
TATURA INST SUSTAINABLE AG,09/12/2024,4.6,0.0, ,24.5,10.9,90,29,2.47,20.84
TATURA INST SUSTAINABLE AG,10/12/2024,6.1,0.0, ,25.3,12.1,92,32,3.87,30.02
TATURA INST SUSTAINABLE AG,11/12/2024,6.8,0.0, ,27.0,10.6,90,22,3.58,31.97
TATURA INST SUSTAINABLE AG,12/12/2024,7.2,0.0, ,31.3,12.2,92,22,2.87,32.00
TATURA INST SUSTAINABLE AG,13/12/2024, ,0.0, , ,14.1,95,35,3.24,31.80
TATURA INST SUSTAINABLE AG,14/12/2024, , , , , ,93,17,2.71,25.16
TATURA INST SUSTAINABLE AG,15/12/2024, , , , ,14.3,91,20,2.46,32.16
TATURA INST SUSTAINABLE AG,16/12/2024,9.2, , ,41.6,20.1,69,16,4.10,21.56
TATURA INST SUSTAINABLE AG,17/12/2024, ,0.0, , ,19.3,67,18,5.29,29.84
TATURA INST SUSTAINABLE AG,18/12/2024, , , ,26.9, ,76,25,4.56,32.21
TATURA INST SUSTAINABLE AG,19/12/2024,6.6,0.0, ,29.5,10.3,89,25,2.44,32.19
TATURA INST SUSTAINABLE AG,20/12/2024,7.3,0.0, ,32.6,12.7,91,18,2.56,32.06
TATURA INST SUSTAINABLE AG,21/12/2024,7.9,0.0, ,27.1,15.6,72,29,6.47,31.44
TATURA INST SUSTAINABLE AG,22/12/2024,8.0,0.0, ,28.2,12.1,70,17,5.22,30.30
TATURA INST SUSTAINABLE AG,23/12/2024,5.9,0.0, ,21.4,10.3,73,30,5.70,26.49
TATURA INST SUSTAINABLE AG,24/12/2024,6.2,0.0, ,25.2,8.9,83,36,4.00,31.01
TATURA INST SUSTAINABLE AG,25/12/2024,7.1,0.0, ,33.0,13.8,93,20,2.25,32.10
TATURA INST SUSTAINABLE AG,26/12/2024,12.0,0.0, ,39.3,18.7,59,8,6.23,28.36
TATURA INST SUSTAINABLE AG,27/12/2024,7.1,0.0, ,25.2,14.8,59,27,5.51,26.76
TATURA INST SUSTAINABLE AG,28/12/2024,6.7,0.0, ,27.0,10.2,84,25,4.54,27.73
TATURA INST SUSTAINABLE AG,29/12/2024, ,0.0, , ,12.0,95,24,3.01,31.92
TATURA INST SUSTAINABLE AG,30/12/2024, , , ,31.8, ,88,20,3.42,29.80
TATURA INST SUSTAINABLE AG,31/12/2024,8.6,0.0, ,32.7,15.2,84,14,4.20,31.77
Totals:,,157.2,24.2, ,,,,,, 
