'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for VIEWBANK Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
VIEWBANK,01/11/2024,3.6,0.0, ,17.9,10.8,82,46,3.21,18.82
VIEWBANK,02/11/2024,5.2,0.0, ,26.2,5.1,95,20,2.76,23.44
VIEWBANK,03/11/2024,6.4,0.0, ,23.5,12.8,76,14,4.30,27.81
VIEWBANK,04/11/2024,4.2,0.0, ,21.2,11.9,86,43,2.71,22.91
VIEWBANK,05/11/2024,4.8,0.0, ,27.6,6.0,98,24,1.21,27.12
VIEWBANK,06/11/2024,6.9,0.0, ,33.3,14.2,81,22,4.31,17.92
VIEWBANK,07/11/2024,4.2,0.8, ,23.2,13.3,95,36,2.10,21.65
VIEWBANK,08/11/2024,4.2,0.2, ,20.7,8.8,89,35,3.74,19.57
VIEWBANK,09/11/2024,3.6,0.0, ,21.6,4.6,96,35,1.76,19.90
VIEWBANK,10/11/2024,4.0,0.0, ,22.0,5.7,95,44,1.79,24.19
VIEWBANK,11/11/2024,5.1,0.0, ,27.3,7.3,95,28,1.71,27.09
VIEWBANK,12/11/2024,4.1,0.0, ,28.6,12.0,97,31,1.70,17.50
VIEWBANK,13/11/2024,2.6,5.6, ,19.5,14.5,99,57,2.85,11.72
VIEWBANK,14/11/2024,4.7,3.0, ,19.5,12.3,72,48,3.15,27.09
VIEWBANK,15/11/2024,4.9,0.0, ,22.8,8.2,91,42,2.10,29.51
VIEWBANK,16/11/2024,6.9,0.0, ,33.7,8.5,98,18,2.65,27.93
VIEWBANK,17/11/2024,5.0,0.0, ,26.2,19.6,94,29,4.72,14.51
VIEWBANK,18/11/2024,4.2,2.2, ,20.6,11.3,87,44,4.19,19.87
VIEWBANK,19/11/2024,4.9,0.0, ,19.6,12.4,75,46,3.18,28.24
VIEWBANK,20/11/2024,4.6,0.0, ,22.0,9.2,87,42,2.42,25.99
VIEWBANK,21/11/2024, ,0.0, , ,9.7,93,16,1.84,29.97
VIEWBANK,22/11/2024, , , ,37.5, ,92,17,2.25,26.71
VIEWBANK,23/11/2024,6.7,0.0, ,37.5,21.4,64,16,2.57,19.08
VIEWBANK,24/11/2024,1.9,5.0, ,22.6,18.6,100,70,1.15,7.50
VIEWBANK,25/11/2024,1.2,9.2, ,18.7,16.6,100,98,2.12,6.26
VIEWBANK,26/11/2024,4.0,5.8, ,29.6,16.8,100,57,1.39,18.75
VIEWBANK,27/11/2024,5.0,32.6, ,30.6,18.0,100,50,3.54,19.61
VIEWBANK,28/11/2024,4.8,11.8, ,26.3,14.6,100,55,1.60,26.34
VIEWBANK,29/11/2024,6.0,0.2, ,31.6,15.4,99,42,1.66,29.48
VIEWBANK,30/11/2024, ,2.2, ,24.4,19.0,100,71,1.64, 
Totals:,,123.7,78.6, ,,,,,, 
