'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for VIEWBANK Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
VIEWBANK,01/02/2025,6.8,0.0, ,38.0,12.9,89,28,1.90,28.44
VIEWBANK,02/02/2025,7.4,0.0, ,39.7,17.2,95,24,2.78,24.83
VIEWBANK,03/02/2025,6.0,10.4, ,39.3,20.0,97,17,2.20,18.39
VIEWBANK,04/02/2025,7.3,0.2, ,39.6,22.6,79,21,3.06,21.25
VIEWBANK,05/02/2025,5.2,0.0, ,25.4,16.8,89,47,3.27,26.05
VIEWBANK,06/02/2025,6.9,0.0, ,38.2,15.5,97,20,2.08,27.16
VIEWBANK,07/02/2025,2.5,0.0, ,24.8,18.9,95,63,2.74,8.61
VIEWBANK,08/02/2025,2.6,0.0, ,22.1,15.8,82,59,2.73,8.58
VIEWBANK,09/02/2025,5.3,0.0, ,30.5,17.2,81,42,2.89,21.56
VIEWBANK,10/02/2025,5.3,0.0, ,27.9,17.3,86,46,3.07,24.62
VIEWBANK,11/02/2025,6.0,0.0, ,33.2,17.4,96,33,2.03,26.94
VIEWBANK,12/02/2025,6.2,0.0, ,37.0,16.9,92,25,1.59,26.88
VIEWBANK,13/02/2025,5.4,0.0, ,35.8,21.8,91,28,3.04,14.34
VIEWBANK,14/02/2025,4.6,0.4, ,26.1,15.6,97,44,3.43,20.46
VIEWBANK,15/02/2025,3.5,7.8, ,17.3,11.7,90,43,4.99,14.87
VIEWBANK,16/02/2025,3.3,9.6, ,19.3,8.8,98,44,2.89,17.11
VIEWBANK,17/02/2025,4.4,0.2, ,23.3,8.4,93,38,1.93,25.95
VIEWBANK,18/02/2025,4.3,0.0, ,23.4,10.7,92,45,2.95,22.54
VIEWBANK,19/02/2025,3.3,0.6, ,21.3,14.0,89,48,3.28,13.26
VIEWBANK,20/02/2025,4.5,0.0, ,23.9,14.1,75,36,2.89,19.44
VIEWBANK,21/02/2025,5.4,0.0, ,33.2,7.8,93,23,1.78,24.78
VIEWBANK,22/02/2025,6.9,0.0, ,37.0,13.1,67,27,3.10,22.93
VIEWBANK,23/02/2025,5.6,0.0, ,31.4,26.0,80,32,4.33,14.18
VIEWBANK,24/02/2025,4.2,0.0, ,24.6,13.6,89,41,2.72,19.93
VIEWBANK,25/02/2025,5.0,0.0, ,28.7,13.1,90,34,2.34,24.25
VIEWBANK,26/02/2025,6.7,0.0, ,37.4,13.2,97,13,2.70,21.89
VIEWBANK,27/02/2025,4.5,0.0, ,28.8,15.7,91,45,1.92,22.57
VIEWBANK,28/02/2025,4.9,0.0, ,28.8,16.7,94,41,2.45,23.24
Totals:,,144,29.2, ,,,,,, 
