'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/10/2024,2.6,0.2, ,14.7,8.2,95,60,5.28,16.87
WALLAN (KILMORE GAP),02/10/2024,3.0,0.2, ,15.9,5.0,95,61,6.38,22.09
WALLAN (KILMORE GAP),03/10/2024,4.4,0.0, ,20.3,7.2,92,46,7.88,21.98
WALLAN (KILMORE GAP),04/10/2024,3.6,2.2, ,17.1,10.4,94,54,11.26,18.84
WALLAN (KILMORE GAP),05/10/2024,2.4,0.6, ,16.0,7.7,94,67,5.72,14.40
WALLAN (KILMORE GAP),06/10/2024,3.2,5.0, ,16.7,8.0,95,54,6.35,18.02
WALLAN (KILMORE GAP),07/10/2024,1.9,0.0, ,13.9,8.1,95,70,6.13,9.56
WALLAN (KILMORE GAP),08/10/2024,2.4,3.2, ,10.4,2.5,95,62,7.67,19.78
WALLAN (KILMORE GAP),09/10/2024,3.5,0.0, ,15.5,1.5,91,48,5.55,23.47
WALLAN (KILMORE GAP),10/10/2024,3.6,0.0, ,17.7,6.0,89,57,9.19,20.86
WALLAN (KILMORE GAP),11/10/2024,3.0,0.0, ,14.3,4.5,95,57,7.17,20.74
WALLAN (KILMORE GAP),12/10/2024,3.6,0.0, ,14.8,5.4,94,48,7.25,23.83
WALLAN (KILMORE GAP),13/10/2024,4.8,0.0, ,19.2,6.1,95,36,8.25,23.39
WALLAN (KILMORE GAP),14/10/2024,3.9,0.0, ,17.9,9.8,96,40,5.56,20.07
WALLAN (KILMORE GAP),15/10/2024,4.0,0.0, ,21.8,9.0,95,56,6.42,21.27
WALLAN (KILMORE GAP),16/10/2024,4.0,0.0, ,20.1,12.3,84,62,7.70,20.64
WALLAN (KILMORE GAP),17/10/2024,3.4,0.0, ,20.0,12.4,93,63,10.15,14.83
WALLAN (KILMORE GAP),18/10/2024,2.7,10.4, ,21.1,14.7,95,73,9.12,11.31
WALLAN (KILMORE GAP),19/10/2024,2.7,21.4, ,14.2,9.5,96,69,8.13,19.92
WALLAN (KILMORE GAP),20/10/2024,2.6,0.4, ,15.1,8.1,95,73,9.57,19.40
WALLAN (KILMORE GAP),21/10/2024,4.5,0.0, ,22.1,8.5,96,48,4.83,24.95
WALLAN (KILMORE GAP),22/10/2024,4.6,0.0, ,22.8,10.3,96,52,8.21,22.11
WALLAN (KILMORE GAP),23/10/2024,3.9,0.8, ,18.6,8.3,96,40,4.93,19.53
WALLAN (KILMORE GAP),24/10/2024,3.7,0.0, ,15.0,5.2,91,41,5.62,21.84
WALLAN (KILMORE GAP),25/10/2024,3.3,0.0, ,12.4,4.7,93,43,6.31,21.61
WALLAN (KILMORE GAP),26/10/2024,4.6,0.0, ,17.6,3.3,87,31,5.03,25.92
WALLAN (KILMORE GAP),27/10/2024,5.6,0.0, ,24.1,8.3,94,30,7.71,16.68
WALLAN (KILMORE GAP),28/10/2024,3.2,0.0, ,14.2,7.2,96,58,7.02,23.13
WALLAN (KILMORE GAP),29/10/2024,3.9,0.0, ,17.0,5.3,94,52,5.63,26.47
WALLAN (KILMORE GAP),30/10/2024,4.5,0.0, ,20.7,6.9,95,45,4.62,25.53
WALLAN (KILMORE GAP),31/10/2024,2.6,0.0, ,15.6,7.3,96,62,5.71,14.67
Totals:,,109.7,44.4, ,,,,,, 
