'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/12/2024,4.8,18.4, ,22.8,13.6,94,50,6.53,22.08
WALLAN (KILMORE GAP),02/12/2024,7.1,0.2, ,27.0,14.0,81,36,6.31,29.16
WALLAN (KILMORE GAP),03/12/2024,5.9,14.4, ,27.4,16.3,96,46,8.88,20.74
WALLAN (KILMORE GAP),04/12/2024,6.0,0.2, ,22.7,7.8,94,37,6.17,31.50
WALLAN (KILMORE GAP),05/12/2024,7.7,0.0, ,30.9,11.5,94,25,4.33,31.54
WALLAN (KILMORE GAP),06/12/2024,6.5,0.0, ,31.5,20.8,92,39,7.05,17.67
WALLAN (KILMORE GAP),07/12/2024,4.9,9.4, ,27.4,15.1,94,55,6.42,19.07
WALLAN (KILMORE GAP),08/12/2024,5.4,0.0, ,20.0,8.6,92,40,5.90,31.34
WALLAN (KILMORE GAP),09/12/2024,4.4,0.0, ,20.6,7.4,92,45,4.13,23.54
WALLAN (KILMORE GAP),10/12/2024,5.2,0.0, ,19.3,9.8,94,41,6.26,29.63
WALLAN (KILMORE GAP),11/12/2024,5.9,0.0, ,22.8,8.7,94,35,4.87,31.15
WALLAN (KILMORE GAP),12/12/2024,6.1,0.0, ,27.0,10.0,95,39,3.72,29.81
WALLAN (KILMORE GAP),13/12/2024,5.0,0.2, ,22.5,13.1,96,49,5.07,25.59
WALLAN (KILMORE GAP),14/12/2024,5.7,0.2, ,26.3,9.2,95,27,4.38,21.33
WALLAN (KILMORE GAP),15/12/2024,7.4,0.2, ,30.5,10.2,95,24,3.65,32.03
WALLAN (KILMORE GAP),16/12/2024,9.7,0.0, ,36.6,15.6,92,24,8.58,17.93
WALLAN (KILMORE GAP),17/12/2024,6.2,0.0, ,22.4,13.3,90,34,6.60,30.12
WALLAN (KILMORE GAP),18/12/2024,5.8,0.0, ,20.7,8.6,92,40,8.68,31.77
WALLAN (KILMORE GAP),19/12/2024,7.0,0.0, ,26.6,8.7,95,27,5.01,32.01
WALLAN (KILMORE GAP),20/12/2024,9.1,0.0, ,31.7,16.0,92,22,7.19,30.61
WALLAN (KILMORE GAP),21/12/2024,4.9,0.0, ,18.9,11.7,91,49,9.62,27.76
WALLAN (KILMORE GAP),22/12/2024,5.7,0.0, ,21.6,8.5,94,37,7.38,28.34
WALLAN (KILMORE GAP),23/12/2024,4.1,0.6, ,16.8,6.2,94,45,7.96,22.58
WALLAN (KILMORE GAP),24/12/2024,4.5,0.0, ,20.9,8.4,95,48,5.99,22.89
WALLAN (KILMORE GAP),25/12/2024,7.8,0.0, ,31.3,11.8,94,25,4.25,31.80
WALLAN (KILMORE GAP),26/12/2024,11.2,0.0, ,36.2,19.5,86,13,9.51,21.41
WALLAN (KILMORE GAP),27/12/2024,4.7,0.2, ,21.3,11.2,86,35,5.12,18.33
WALLAN (KILMORE GAP),28/12/2024,5.3,0.0, ,23.1,9.2,93,34,4.69,23.83
WALLAN (KILMORE GAP),29/12/2024,6.2,0.4, ,25.0,8.9,93,33,4.44,30.33
WALLAN (KILMORE GAP),30/12/2024,6.7,0.0, ,28.8,11.3,94,33,5.76,25.02
WALLAN (KILMORE GAP),31/12/2024,6.7,0.0, ,25.7,12.1,95,36,6.03,31.32
Totals:,,193.6,44.4, ,,,,,, 
