'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/01/2025,5.7,0.0, ,22.8,11.4,96,40,7.02,27.57
WALLAN (KILMORE GAP),02/01/2025,5.8,0.0, ,19.7,9.0,88,40,10.17,31.50
WALLAN (KILMORE GAP),03/01/2025,7.9,0.0, ,30.0,7.8,91,25,5.29,31.42
WALLAN (KILMORE GAP),04/01/2025,9.8,0.0, ,34.7,16.2,64,10,5.54,26.67
WALLAN (KILMORE GAP),05/01/2025,10.6,0.0, ,36.3,20.2,35,14,6.75,18.55
WALLAN (KILMORE GAP),06/01/2025,3.0,5.6, ,14.4,14.3,96,32,6.79,6.03
WALLAN (KILMORE GAP),07/01/2025,5.9,17.0, ,24.2,8.9,95,45,7.23,30.32
WALLAN (KILMORE GAP),08/01/2025,6.3,0.0, ,28.2,10.5,92,33,3.43,29.53
WALLAN (KILMORE GAP),09/01/2025,6.9,0.0, ,27.4,15.3,66,24,5.90,19.34
WALLAN (KILMORE GAP),10/01/2025,6.2,0.0, ,29.2,16.9,85,30,3.77,22.88
WALLAN (KILMORE GAP),11/01/2025,8.1,0.0, ,31.6,17.3,81,24,5.81,25.92
WALLAN (KILMORE GAP),12/01/2025,3.9,0.0, ,23.7,17.4,94,54,5.44,14.08
WALLAN (KILMORE GAP),13/01/2025,6.4,6.2, ,28.1,14.9,96,45,5.37,29.27
WALLAN (KILMORE GAP),14/01/2025,6.9,0.2, ,28.2,13.7,96,34,5.87,28.25
WALLAN (KILMORE GAP),15/01/2025,3.8,0.0, ,23.0,14.3,94,53,7.42,10.88
WALLAN (KILMORE GAP),16/01/2025,5.0,6.0, ,19.1,8.4,85,47,8.56,27.65
WALLAN (KILMORE GAP),17/01/2025,4.9,0.8, ,20.7,11.7,95,51,9.24,26.93
WALLAN (KILMORE GAP),18/01/2025,6.7,0.0, ,28.4,10.3,94,27,3.75,30.41
WALLAN (KILMORE GAP),19/01/2025,8.5,0.0, ,31.9,14.4,68,24,5.40,28.76
WALLAN (KILMORE GAP),20/01/2025,6.7,0.0, ,31.2,19.6,59,27,4.18,18.62
WALLAN (KILMORE GAP),21/01/2025,9.6,0.0, ,36.8,16.2,93,19,5.71,28.90
WALLAN (KILMORE GAP),22/01/2025,4.7,0.0, ,19.8,13.0,93,50,10.50,23.12
WALLAN (KILMORE GAP),23/01/2025,3.9,0.0, ,20.7,9.3,94,48,6.69,14.65
WALLAN (KILMORE GAP),24/01/2025,4.9,8.6, ,20.3,8.9,95,46,7.05,27.05
WALLAN (KILMORE GAP),25/01/2025,6.0,0.0, ,25.8,11.3,94,37,5.40,26.54
WALLAN (KILMORE GAP),26/01/2025,5.5,0.0, ,24.3,12.4,96,50,7.25,28.02
WALLAN (KILMORE GAP),27/01/2025,11.5,0.0, ,38.2,14.3,94,20,9.29,23.83
WALLAN (KILMORE GAP),28/01/2025,5.1,0.8, ,20.9,11.5,96,46,8.90,26.24
WALLAN (KILMORE GAP),29/01/2025,5.3,0.0, ,19.6,10.0,84,47,9.77,28.76
WALLAN (KILMORE GAP),30/01/2025,5.2,0.0, ,19.8,9.5,85,46,9.93,27.02
WALLAN (KILMORE GAP),31/01/2025,5.8,0.0, ,23.3,9.8,90,45,8.81,28.48
Totals:,,196.5,45.2, ,,,,,, 
