'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/02/2025,8.0,0.0, ,34.2,10.9,95,24,4.44,28.18
WALLAN (KILMORE GAP),02/02/2025,9.6,0.0, ,34.9,14.3,89,29,9.21,24.36
WALLAN (KILMORE GAP),03/02/2025,8.7,0.0, ,35.7,18.9,80,25,6.56,21.03
WALLAN (KILMORE GAP),04/02/2025,9.1,0.0, ,36.4,23.4,90,24,7.59,21.35
WALLAN (KILMORE GAP),05/02/2025,5.5,0.0, ,23.6,12.1,94,47,8.17,26.42
WALLAN (KILMORE GAP),06/02/2025,8.4,0.0, ,34.3,13.3,95,19,5.11,27.26
WALLAN (KILMORE GAP),07/02/2025,5.6,0.0, ,23.3,17.5,85,41,7.48,22.07
WALLAN (KILMORE GAP),08/02/2025,2.8,0.0, ,18.0,12.4,91,67,8.20,11.47
WALLAN (KILMORE GAP),09/02/2025,5.3,0.0, ,27.7,13.2,92,45,6.31,18.18
WALLAN (KILMORE GAP),10/02/2025,5.3,0.0, ,25.6,14.0,93,50,7.70,22.51
WALLAN (KILMORE GAP),11/02/2025,6.4,0.0, ,29.5,14.8,96,34,4.59,26.20
WALLAN (KILMORE GAP),12/02/2025,7.2,0.0, ,33.2,16.6,80,27,3.81,26.49
WALLAN (KILMORE GAP),13/02/2025,7.6,0.0, ,30.5,20.4,81,38,10.75,16.85
WALLAN (KILMORE GAP),14/02/2025,4.6,1.2, ,23.1,11.7,94,45,5.87,20.18
WALLAN (KILMORE GAP),15/02/2025,3.1,3.8, ,16.1,8.3,92,52,6.71,14.21
WALLAN (KILMORE GAP),16/02/2025,3.7,2.2, ,16.0,5.3,94,42,6.85,20.07
WALLAN (KILMORE GAP),17/02/2025,5.3,1.6, ,21.6,6.8,86,32,5.28,25.71
WALLAN (KILMORE GAP),18/02/2025,4.5,0.0, ,21.0,9.6,92,45,7.05,20.69
WALLAN (KILMORE GAP),19/02/2025,3.0,0.0, ,15.9,9.7,94,55,9.61,11.48
WALLAN (KILMORE GAP),20/02/2025,4.8,0.2, ,19.2,9.4,94,41,9.41,23.47
WALLAN (KILMORE GAP),21/02/2025,6.9,0.0, ,29.2,7.8,92,28,5.91,24.39
WALLAN (KILMORE GAP),22/02/2025,10.1,0.0, ,33.2,14.4,49,31,10.43,22.09
WALLAN (KILMORE GAP),23/02/2025,7.2,0.4, ,30.1,20.1,87,33,10.31,13.64
WALLAN (KILMORE GAP),24/02/2025,4.4,0.0, ,21.2,11.0,92,47,7.01,20.13
WALLAN (KILMORE GAP),25/02/2025,6.1,0.0, ,27.9,10.2,94,36,6.22,23.65
WALLAN (KILMORE GAP),26/02/2025,9.0,0.0, ,33.5,11.8,92,16,7.05,23.20
WALLAN (KILMORE GAP),27/02/2025,6.7,0.0, ,29.7,12.6,96,30,6.11,22.97
WALLAN (KILMORE GAP),28/02/2025,5.3,0.0, ,26.6,14.2,93,37,4.17,23.30
Totals:,,174.2,9.4, ,,,,,, 
