'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALLAN (KILMORE GAP) Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALLAN (KILMORE GAP),01/04/2025,3.8,0.0, ,20.4,9.0,96,40,5.79,17.23
WALLAN (KILMORE GAP),02/04/2025,3.8,0.0, ,23.2,9.5,88,33,3.87,14.91
WALLAN (KILMORE GAP),03/04/2025,3.1,0.0, ,19.3,10.3,96,47,5.52,13.17
WALLAN (KILMORE GAP),04/04/2025,2.6,2.2, ,15.4,6.6,91,54,5.24,14.21
WALLAN (KILMORE GAP),05/04/2025,3.0,0.2, ,15.3,6.3,94,39,5.13,16.75
WALLAN (KILMORE GAP),06/04/2025,3.2,0.0, ,18.6,6.7,92,40,5.50,11.06
WALLAN (KILMORE GAP),07/04/2025,1.7,0.6, ,14.2,8.4,95,67,4.66,8.21
WALLAN (KILMORE GAP),08/04/2025,2.6,0.0, ,16.7,7.2,93,56,5.02,15.32
WALLAN (KILMORE GAP),09/04/2025,3.2,0.2, ,20.5,8.2,96,38,4.11,15.36
WALLAN (KILMORE GAP),10/04/2025, ,0.0, , ,12.2,71,36,6.77,15.34
WALLAN (KILMORE GAP),11/04/2025, , , ,21.7, ,90,49,4.96,15.70
WALLAN (KILMORE GAP),12/04/2025,5.0,0.0, ,27.7,10.2,95,29,5.38,15.13
WALLAN (KILMORE GAP),13/04/2025,7.1,0.0, ,27.5,17.3,50,27,8.10,15.23
WALLAN (KILMORE GAP),14/04/2025,2.8,0.0, ,19.4,13.3,96,48,5.22,10.79
WALLAN (KILMORE GAP),15/04/2025,3.6,0.2, ,24.3,10.2,96,43,4.66,14.86
WALLAN (KILMORE GAP),16/04/2025,4.4,0.0, ,22.8,13.0,67,40,6.67,11.63
WALLAN (KILMORE GAP),17/04/2025, ,0.0, , ,15.3,62,36,4.27,13.12
WALLAN (KILMORE GAP),18/04/2025, , , ,27.0, ,96,30,6.57,13.62
WALLAN (KILMORE GAP),19/04/2025,5.9,0.0, ,25.3,13.8,76,27,8.87,10.55
WALLAN (KILMORE GAP),20/04/2025,4.6,0.0, ,20.8,13.8,70,35,8.00,12.29
WALLAN (KILMORE GAP),21/04/2025,2.6,0.2, ,18.8,9.7,96,52,5.99,10.27
WALLAN (KILMORE GAP),22/04/2025,1.2,12.2, ,14.3,9.2,96,82,7.44,6.78
WALLAN (KILMORE GAP),23/04/2025,2.3,0.0, ,19.7,9.6,97,59,4.12,12.69
WALLAN (KILMORE GAP),24/04/2025,4.0,0.0, ,22.7,11.1,84,50,8.57,13.59
WALLAN (KILMORE GAP),25/04/2025,2.3,0.0, ,19.2,14.8,95,60,6.26,8.14
WALLAN (KILMORE GAP),26/04/2025,1.1,15.2, ,16.5,12.1,100,85,4.73,6.73
WALLAN (KILMORE GAP),27/04/2025,1.0,0.2, ,13.5,11.3,100,84,7.70,5.42
WALLAN (KILMORE GAP),28/04/2025,1.8,0.2, ,15.0,8.5,97,68,7.32,10.62
WALLAN (KILMORE GAP),29/04/2025,1.3,2.8, ,13.8,10.1,98,76,7.56,6.93
WALLAN (KILMORE GAP),30/04/2025,2.0,0.6, ,14.6,7.2,100,60,7.60,11.23
Totals:,,80,34.8, ,,,,,, 
