'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALPEUP RESEARCH Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALPEUP RESEARCH,01/10/2024,4.1,0.0, ,24.6,6.1,98,34,2.96,19.18
WALPEUP RESEARCH,02/10/2024,4.4,0.0, ,24.4,7.2,89,26,2.77,21.42
WALPEUP RESEARCH,03/10/2024,7.2,0.0, ,30.6,9.8,72,20,5.40,20.43
WALPEUP RESEARCH,04/10/2024,5.4,0.0, ,25.1,19.8,75,25,4.65,16.67
WALPEUP RESEARCH,05/10/2024,3.9,0.0, ,21.8,7.8,93,40,4.83,15.51
WALPEUP RESEARCH,06/10/2024,5.5,0.0, ,25.4,10.1,77,32,5.03,20.61
WALPEUP RESEARCH,07/10/2024,4.8,0.0, ,26.1,9.0,94,38,4.18,19.64
WALPEUP RESEARCH,08/10/2024,4.3,0.0, ,19.6,3.8,89,22,3.83,20.91
WALPEUP RESEARCH,09/10/2024,4.7,0.0, ,23.6,3.6,76,13,2.52,22.03
WALPEUP RESEARCH,10/10/2024,6.5,0.0, ,26.7,9.3,62,16,4.71,22.15
WALPEUP RESEARCH,11/10/2024,5.3,0.0, ,24.3,3.2,91,26,4.61,22.19
WALPEUP RESEARCH,12/10/2024,5.2,0.0, ,25.6,5.3,90,11,2.96,21.64
WALPEUP RESEARCH,13/10/2024,5.7,0.0, ,30.0,9.8,51,11,2.77,18.50
WALPEUP RESEARCH,14/10/2024,5.3,0.0, ,30.9,12.2,71,21,2.79,16.73
WALPEUP RESEARCH,15/10/2024,4.1,0.0, ,26.1,15.9,73,33,3.14,11.47
WALPEUP RESEARCH,16/10/2024,5.7,0.0, ,31.6,12.5,97,28,3.43,20.16
WALPEUP RESEARCH,17/10/2024,4.5,0.0, ,29.3,17.4,97,41,4.40,12.80
WALPEUP RESEARCH,18/10/2024,3.2,43.4, ,21.9,18.5,98,67,7.20,14.83
WALPEUP RESEARCH,19/10/2024,5.5,0.0, ,25.5,10.7,87,31,4.64,22.67
WALPEUP RESEARCH,20/10/2024,5.1,0.0, ,27.5,8.0,96,28,2.93,22.24
WALPEUP RESEARCH,21/10/2024,5.6,0.0, ,31.0,10.4,85,18,2.28,23.36
WALPEUP RESEARCH,22/10/2024,7.7,0.0, ,34.8,15.3,73,16,5.04,15.22
WALPEUP RESEARCH,23/10/2024, ,0.0, , ,13.2,91,24,4.29,21.02
WALPEUP RESEARCH,24/10/2024, , , ,22.3, ,94,21,5.36,22.62
WALPEUP RESEARCH,25/10/2024,4.5,0.0, ,22.6,4.9,94,29,3.04,23.05
WALPEUP RESEARCH,26/10/2024,5.8,0.0, ,26.1,7.8,66,21,3.65,22.22
WALPEUP RESEARCH,27/10/2024,8.5,0.0, ,32.0,14.5,62,14,5.44,23.70
WALPEUP RESEARCH,28/10/2024,5.8, , ,26.2,7.9,92,23,4.03,24.25
WALPEUP RESEARCH,29/10/2024,6.1,0.0, ,28.6,7.4,83,17,3.23,24.43
WALPEUP RESEARCH,30/10/2024,6.8,0.0, ,31.1,10.5,80,15,3.46,24.03
WALPEUP RESEARCH,31/10/2024,5.9,0.0, ,26.1,9.6,83,28,4.44,24.37
Totals:,,157.1,43.4, ,,,,,, 
