'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALPEUP RESEARCH Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALPEUP RESEARCH,01/11/2024,5.5,0.0, ,23.8,6.5,87,20,3.50,25.74
WALPEUP RESEARCH,02/11/2024,8.0,0.0, ,30.6,8.6,61,12,5.03,22.84
WALPEUP RESEARCH,03/11/2024,7.6,0.0, ,29.0,15.4,73,17,5.36,25.11
WALPEUP RESEARCH,04/11/2024,5.8,0.0, ,26.0,11.7,68,27,3.27,25.40
WALPEUP RESEARCH,05/11/2024,6.0,0.0, ,30.3,11.3,68,21,3.30,19.23
WALPEUP RESEARCH,06/11/2024,9.1,0.0, ,34.5,17.8,62,21,5.97,23.56
WALPEUP RESEARCH,07/11/2024,4.8,0.2, ,24.5,8.9,92,29,3.97,17.55
WALPEUP RESEARCH,08/11/2024,5.6,0.0, ,24.6,6.6,91,25,4.59,21.85
WALPEUP RESEARCH,09/11/2024,3.5,0.0, ,21.6,6.9,75,30,2.06,14.27
WALPEUP RESEARCH,10/11/2024,5.9,0.0, ,28.6,9.5,82,22,2.54,26.73
WALPEUP RESEARCH,11/11/2024,5.3,0.0, ,28.8,13.8,53,25,3.01,15.68
WALPEUP RESEARCH,12/11/2024,4.6,0.0, ,29.8,17.4,89,31,2.79,14.09
WALPEUP RESEARCH,13/11/2024,6.7,12.6, ,26.3,13.7,91,30,6.22,26.86
WALPEUP RESEARCH,14/11/2024,6.0,0.0, ,26.3,6.8,91,19,3.12,27.77
WALPEUP RESEARCH,15/11/2024,6.5,0.0, ,29.3,8.8,73,16,2.86,27.42
WALPEUP RESEARCH,16/11/2024,10.6,0.0, ,37.8,14.3,41,6,4.97,25.98
WALPEUP RESEARCH,17/11/2024,6.1,0.0, ,24.8,13.7,93,26,6.35,21.82
WALPEUP RESEARCH,18/11/2024,6.2,1.4, ,27.0,8.5,95,25,3.92,27.41
WALPEUP RESEARCH,19/11/2024,6.6,0.0, ,27.2,8.2,73,19,3.68,28.16
WALPEUP RESEARCH,20/11/2024,7.3,0.0, ,30.7,8.9,75,14,3.49,27.80
WALPEUP RESEARCH,21/11/2024, ,0.0, , ,13.7,58,11,3.02,26.62
WALPEUP RESEARCH,22/11/2024, , , ,38.4, ,36,18,3.72,23.78
WALPEUP RESEARCH,23/11/2024,6.9,0.0, ,36.7,22.8,97,22,5.08,13.09
WALPEUP RESEARCH,24/11/2024,1.7,27.8, ,22.1,19.2,98,90,2.23,7.84
WALPEUP RESEARCH,25/11/2024,2.7,25.2, ,22.9,18.7,98,81,1.37,13.90
WALPEUP RESEARCH,26/11/2024,5.4,12.0, ,31.1,18.0,99,48,2.39,24.42
WALPEUP RESEARCH,27/11/2024,5.5,1.2, ,27.0,18.7,97,38,4.56,21.36
WALPEUP RESEARCH,28/11/2024,5.4,0.0, ,27.7,14.1,93,37,2.40,25.93
WALPEUP RESEARCH,29/11/2024,6.3,0.0, ,32.9,13.6,94,27,1.70,29.73
WALPEUP RESEARCH,30/11/2024, ,1.2, ,28.3,17.1,93,45,3.74, 
Totals:,,161.6,81.6, ,,,,,, 
