'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WALPEUP RESEARCH Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WALPEUP RESEARCH,01/12/2024,6.1,1.4, ,27.6,13.5,96,33,3.95,26.91
WALPEUP RESEARCH,02/12/2024,8.5,0.0, ,36.5,15.5,96,20,5.01,23.11
WALPEUP RESEARCH,03/12/2024,7.5,4.8, ,29.9,20.1,96,39,6.02,31.29
WALPEUP RESEARCH,04/12/2024,7.2,0.2, ,31.2,11.1,85,9,2.58,31.82
WALPEUP RESEARCH,05/12/2024,8.8,0.0, ,39.0,18.5,35,19,2.73,31.63
WALPEUP RESEARCH,06/12/2024,6.1,0.0, ,35.0,24.1,93,30,4.47,14.03
WALPEUP RESEARCH,07/12/2024,8.2,4.6, ,34.8,18.5,97,36,4.96,31.17
WALPEUP RESEARCH,08/12/2024,7.1,0.0, ,28.7,10.2,91,27,4.11,32.14
WALPEUP RESEARCH,09/12/2024,6.2,0.0, ,29.4,14.4,67,22,3.12,21.88
WALPEUP RESEARCH,10/12/2024,7.8,0.0, ,29.5,12.5,82,15,4.02,32.13
WALPEUP RESEARCH,11/12/2024,7.9,0.0, ,30.0,10.5,86,19,4.36,32.17
WALPEUP RESEARCH,12/12/2024,7.7,0.0, ,32.6,11.8,88,24,3.31,32.21
WALPEUP RESEARCH,13/12/2024,7.8,0.0, ,32.5,13.9,93,23,3.55,32.22
WALPEUP RESEARCH,14/12/2024,8.0,0.0, ,36.6,14.3,64,18,3.18,26.57
WALPEUP RESEARCH,15/12/2024,9.0,0.0, ,39.4,19.6,44,17,2.78,32.30
WALPEUP RESEARCH,16/12/2024,14.7,0.0, ,47.1,26.0,50,10,6.98,25.13
WALPEUP RESEARCH,17/12/2024,9.7,0.0, ,30.4,16.9,64,19,7.03,32.34
WALPEUP RESEARCH,18/12/2024,8.2,0.0, ,30.9,9.1,81,13,4.03,32.35
WALPEUP RESEARCH,19/12/2024,8.8,0.0, ,35.5,13.1,57,13,3.31,32.37
WALPEUP RESEARCH,20/12/2024, ,0.0, , ,18.7,49,8,5.04,32.28
WALPEUP RESEARCH,21/12/2024,8.7, , ,31.3,11.7,85,17,5.26,32.09
WALPEUP RESEARCH,22/12/2024,8.5,0.0, ,29.4,10.3,71,19,5.71,31.73
WALPEUP RESEARCH,23/12/2024, ,0.0, , ,7.6,80,22,5.99,31.62
WALPEUP RESEARCH,24/12/2024, , , ,30.9, ,71,24,2.28,32.38
WALPEUP RESEARCH,25/12/2024,9.6,0.0, ,37.8,16.8,48,14,3.63,32.37
WALPEUP RESEARCH,26/12/2024,12.0,0.0, ,39.7,22.2,55,8,7.74,13.88
WALPEUP RESEARCH,27/12/2024,6.3,0.0, ,27.0,12.8,71,22,4.39,20.68
WALPEUP RESEARCH,28/12/2024,5.8,0.0, ,26.4,8.4,75,33,4.28,21.85
WALPEUP RESEARCH,29/12/2024,6.9,0.0, ,30.4,8.6,89,25,2.73,32.24
WALPEUP RESEARCH,30/12/2024,8.3,0.0, ,33.6,15.8,69,20,4.00,29.56
WALPEUP RESEARCH,31/12/2024,8.9,0.0, ,35.8,15.3,81,12,3.58,32.24
Totals:,,230.3,11, ,,,,,, 
