'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANGARATTA AERO Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANGARATTA AERO,01/09/2024,3.0,0.2, ,18.9,9.4,82,48,4.84,11.84
WANGARATTA AERO,02/09/2024,3.5,0.0, ,14.3,8.7,84,38,8.96,13.79
WANGARATTA AERO,03/09/2024,2.2,1.0, ,15.9,1.8,97,52,2.53,16.83
WANGARATTA AERO,04/09/2024,2.3,0.0, ,18.3,0.4,99,47,1.81,17.17
WANGARATTA AERO,05/09/2024, ,0.2, , ,8.0,92,52,1.53,8.49
WANGARATTA AERO,06/09/2024, , , ,27.3, ,90,33,4.73,14.77
WANGARATTA AERO,07/09/2024,2.8,4.4, ,17.9,7.7,96,45,2.94,17.66
WANGARATTA AERO,08/09/2024,2.5,0.2, ,17.9,4.0,98,47,2.55,16.37
WANGARATTA AERO,09/09/2024,2.1,0.0, ,16.4,10.5,97,57,3.19,11.59
WANGARATTA AERO,10/09/2024,2.2,0.0, ,18.9,1.5,99,49,0.83,18.29
WANGARATTA AERO,11/09/2024,2.7,0.0, ,21.2,3.8,98,51,2.49,16.00
WANGARATTA AERO,12/09/2024,3.3,16.6, ,18.7,8.3,95,38,3.80,18.71
WANGARATTA AERO,13/09/2024, ,0.0, , ,1.2,97,48,2.00,18.89
WANGARATTA AERO,14/09/2024,2.5, , ,14.7,3.8,96,53,4.90,15.80
WANGARATTA AERO,15/09/2024,2.9,0.0, ,15.0,-0.4,90,37,3.66,19.27
WANGARATTA AERO,16/09/2024,2.8,0.0, ,15.3,2.1,85,55,5.34,17.83
WANGARATTA AERO,17/09/2024,2.5,0.0, ,16.5,0.9,99,50,2.30,18.70
WANGARATTA AERO,18/09/2024,4.0,0.0, ,21.6,-1.3,99,23,3.20,19.83
WANGARATTA AERO,19/09/2024,3.6,0.0, ,17.6,5.5,74,41,5.20,15.69
WANGARATTA AERO,20/09/2024,2.2,0.0, ,15.1,2.8,91,61,4.02,13.89
WANGARATTA AERO,21/09/2024,3.0,1.6, ,17.6,8.3,88,47,4.60,13.49
WANGARATTA AERO,22/09/2024,2.8,0.0, ,18.2,6.2,93,49,2.90,15.99
WANGARATTA AERO,23/09/2024, ,0.0, , ,2.7,99,46,1.72,20.55
WANGARATTA AERO,24/09/2024,3.5, , ,25.4,4.5,98,27,1.90,16.37
WANGARATTA AERO,25/09/2024,1.9,0.6, ,16.9,12.4,96,57,2.83,7.30
WANGARATTA AERO,26/09/2024,4.0,5.0, ,17.4,8.4,77,28,3.96,21.13
WANGARATTA AERO,27/09/2024,2.8,0.0, ,18.5,0.3,96,37,1.13,21.50
WANGARATTA AERO,28/09/2024,3.2,0.0, ,20.2,0.5,98,43,1.95,21.67
WANGARATTA AERO,29/09/2024,2.3,0.0, ,18.7,5.1,97,55,2.70,11.06
WANGARATTA AERO,30/09/2024,3.0,2.6, ,19.1,6.6,99,52,2.11,20.19
Totals:,,73.6,32.4, ,,,,,, 
