'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANGARATTA AERO Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANGARATTA AERO,01/10/2024,3.3,0.2, ,19.8,1.7,99,48,2.71,21.48
WANGARATTA AERO,02/10/2024,3.6,0.0, ,23.3,3.7,97,40,1.77,22.39
WANGARATTA AERO,03/10/2024,3.8,0.0, ,24.4,3.8,99,37,1.86,22.55
WANGARATTA AERO,04/10/2024,2.3,1.2, ,19.8,7.3,97,56,2.34,10.44
WANGARATTA AERO,05/10/2024,3.2,8.2, ,19.6,6.1,98,51,3.27,18.95
WANGARATTA AERO,06/10/2024,3.5,2.8, ,20.1,11.8,90,45,3.98,15.89
WANGARATTA AERO,07/10/2024,3.1,0.2, ,21.9,5.4,98,53,3.16,16.11
WANGARATTA AERO,08/10/2024,3.9,1.4, ,17.2,3.8,87,36,3.97,23.62
WANGARATTA AERO,09/10/2024,3.4,0.0, ,20.3,0.9,96,41,1.52,23.75
WANGARATTA AERO,10/10/2024,3.8,0.0, ,23.7,2.0,98,42,1.74,23.84
WANGARATTA AERO,11/10/2024,4.6,0.0, ,23.2,4.7,98,32,3.41,24.12
WANGARATTA AERO,12/10/2024,4.5,0.0, ,22.8,5.5,89,20,2.48,24.31
WANGARATTA AERO,13/10/2024,4.2,0.0, ,23.9,1.4,98,23,1.88,23.75
WANGARATTA AERO,14/10/2024,4.2,0.0, ,26.4,9.4,84,37,2.09,20.46
WANGARATTA AERO,15/10/2024,4.6,0.0, ,26.2,6.8,94,39,3.36,20.46
WANGARATTA AERO,16/10/2024,4.0,0.0, ,24.7,12.9,92,42,2.02,20.43
WANGARATTA AERO,17/10/2024,3.8,0.0, ,25.7,8.0,98,46,2.37,18.52
WANGARATTA AERO,18/10/2024,2.7,24.6, ,24.1,15.3,98,65,4.95,9.23
WANGARATTA AERO,19/10/2024,5.1,13.0, ,23.0,13.3,85,49,6.19,25.00
WANGARATTA AERO,20/10/2024,4.8,0.0, ,25.3,8.0,88,40,2.69,25.74
WANGARATTA AERO,21/10/2024,4.5,0.0, ,27.5,7.8,95,30,1.26,25.94
WANGARATTA AERO,22/10/2024,4.3,0.0, ,27.8,7.5,96,39,1.64,22.16
WANGARATTA AERO,23/10/2024,3.9,0.4, ,23.3,14.1,94,36,3.26,15.06
WANGARATTA AERO,24/10/2024,4.6,2.8, ,18.7,6.6,82,34,4.70,24.79
WANGARATTA AERO,25/10/2024,4.9,0.0, ,19.1,5.8,81,32,4.92,26.65
WANGARATTA AERO,26/10/2024,4.2,0.0, ,21.4,-0.2,95,25,1.90,26.21
WANGARATTA AERO,27/10/2024,4.9,0.0, ,28.2,7.0,91,23,1.84,24.11
WANGARATTA AERO,28/10/2024,6.4,0.0, ,24.7,10.3,81,30,6.41,27.07
WANGARATTA AERO,29/10/2024,6.1,0.0, ,26.1,5.9,72,23,3.69,27.23
WANGARATTA AERO,30/10/2024,5.4,0.0, ,26.8,5.0,94,21,2.32,27.46
WANGARATTA AERO,31/10/2024,5.3,0.0, ,23.5,6.1,95,32,4.34,25.98
Totals:,,130.9,54.8, ,,,,,, 
