'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANGARATTA AERO Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANGARATTA AERO,01/11/2024,5.7,0.0, ,24.0,5.7,85,14,3.40,26.97
WANGARATTA AERO,02/11/2024,5.5,0.0, ,27.7,3.3,93,20,2.33,26.86
WANGARATTA AERO,03/11/2024,6.9,0.0, ,32.7,7.6,87,17,3.86,19.73
WANGARATTA AERO,04/11/2024,5.3,0.0, ,24.0,9.7,79,31,3.81,23.42
WANGARATTA AERO,05/11/2024,5.1,0.0, ,27.5,3.7,97,25,1.78,27.31
WANGARATTA AERO,06/11/2024,6.8,0.0, ,34.7,8.3,91,20,3.19,22.13
WANGARATTA AERO,07/11/2024,5.1,1.6, ,24.9,14.8,93,22,3.86,18.08
WANGARATTA AERO,08/11/2024,4.6,0.2, ,22.3,10.9,81,37,4.19,18.89
WANGARATTA AERO,09/11/2024,4.3,0.0, ,24.2,1.9,97,23,2.10,20.95
WANGARATTA AERO,10/11/2024,5.6,0.0, ,26.7,3.8,92,17,2.36,28.20
WANGARATTA AERO,11/11/2024,5.5,0.0, ,28.9,5.0,93,22,1.95,27.13
WANGARATTA AERO,12/11/2024,4.6,0.0, ,29.4,9.5,89,30,2.13,18.47
WANGARATTA AERO,13/11/2024,3.7,0.0, ,26.0,14.0,89,53,3.14,14.63
WANGARATTA AERO,14/11/2024,6.5,4.2, ,27.9,11.3,76,25,3.63,27.98
WANGARATTA AERO,15/11/2024,6.1,0.2, ,28.9,6.6,94,15,2.41,28.51
WANGARATTA AERO,16/11/2024,7.3,0.0, ,34.0,6.4,92,21,3.13,27.67
WANGARATTA AERO,17/11/2024,4.3,11.0, ,23.3,18.7,96,33,6.57,9.25
WANGARATTA AERO,18/11/2024,5.9,15.6, ,22.3,10.8,72,32,4.99,27.30
WANGARATTA AERO,19/11/2024,5.7,0.0, ,26.8,5.8,92,16,2.15,28.95
WANGARATTA AERO,20/11/2024,5.7,0.0, ,29.5,7.9,96,22,1.83,28.54
WANGARATTA AERO,21/11/2024, ,0.0, , ,11.3,90,26,2.65,26.25
WANGARATTA AERO,22/11/2024, , , ,34.7, ,93,19,2.07,28.16
WANGARATTA AERO,23/11/2024,6.9, , ,36.0,15.1,88,19,2.54,25.10
WANGARATTA AERO,24/11/2024,2.3,0.0, ,23.9,20.2,97,48,2.62,5.32
WANGARATTA AERO,25/11/2024,1.6,17.0, ,22.9,18.3,98,81,2.61,5.67
WANGARATTA AERO,26/11/2024,3.8,16.6, ,28.9,18.7,98,57,2.59,15.52
WANGARATTA AERO,27/11/2024,3.6,12.8, ,27.9,18.9,98,64,4.78,13.44
WANGARATTA AERO,28/11/2024,5.7,6.2, ,29.7,16.8,99,32,1.71,27.95
WANGARATTA AERO,29/11/2024,6.1,0.0, ,32.1,14.8,95,37,3.04,24.82
WANGARATTA AERO,30/11/2024, ,43.2, ,25.0,18.1,97,74,2.96, 
Totals:,,140.2,128.6, ,,,,,, 
