'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WANGARATTA AERO Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WANGARATTA AERO,01/03/2025,7.1,0.0, ,35.3,13.6,80,11,3.15,23.61
WANGARATTA AERO,02/03/2025,5.8,0.0, ,31.8,11.3,78,22,3.09,20.09
WANGARATTA AERO,03/03/2025,5.6,0.0, ,31.6,10.8,90,23,2.62,22.93
WANGARATTA AERO,04/03/2025,5.2,0.0, ,33.0,12.0,77,23,1.84,22.89
WANGARATTA AERO,05/03/2025,5.9,0.0, ,34.3,12.7,80,24,2.53,22.65
WANGARATTA AERO,06/03/2025,5.8,0.0, ,35.0,14.5,81,23,2.40,22.21
WANGARATTA AERO,07/03/2025,4.7,0.0, ,33.0,13.8,84,23,1.35,22.17
WANGARATTA AERO,08/03/2025,4.9,0.0, ,32.3,13.7,83,25,1.72,21.93
WANGARATTA AERO,09/03/2025,5.9,0.0, ,34.1,13.9,91,23,3.05,20.45
WANGARATTA AERO,10/03/2025,4.4,10.0, ,31.3,20.4,97,45,2.48,18.55
WANGARATTA AERO,11/03/2025,4.9,0.2, ,34.1,16.7,96,29,1.80,21.56
WANGARATTA AERO,12/03/2025,4.6,0.0, ,33.1,16.6,94,33,1.46,21.48
WANGARATTA AERO,13/03/2025,5.4,0.0, ,36.5,17.4,94,24,2.38,18.39
WANGARATTA AERO,14/03/2025,5.5,0.0, ,35.8,15.5,93,11,2.16,20.08
WANGARATTA AERO,15/03/2025,4.4,0.0, ,36.3,12.9,78,13,1.30,17.62
WANGARATTA AERO,16/03/2025,3.9,0.0, ,27.7,18.9,88,37,4.69,5.65
WANGARATTA AERO,17/03/2025,4.2,2.8, ,21.8,8.4,79,31,3.44,20.37
WANGARATTA AERO,18/03/2025,4.0,0.0, ,26.6,5.9,93,23,1.87,19.95
WANGARATTA AERO,19/03/2025,6.0,0.0, ,33.7,10.1,86,25,3.65,18.43
WANGARATTA AERO,20/03/2025,2.1,0.0, ,25.0,16.6,98,49,2.55,4.09
WANGARATTA AERO,21/03/2025,4.0,47.8, ,27.3,18.8,98,41,2.76,17.51
WANGARATTA AERO,22/03/2025,3.7,0.2, ,26.7,11.5,96,34,1.72,19.59
WANGARATTA AERO,23/03/2025,3.7,0.0, ,29.2,12.7,93,37,1.45,18.98
WANGARATTA AERO,24/03/2025,3.9,0.0, ,30.8,14.0,95,36,1.65,19.14
WANGARATTA AERO,25/03/2025,4.1,0.0, ,31.5,14.6,94,37,1.94,19.04
WANGARATTA AERO,26/03/2025,4.1,0.0, ,32.1,15.7,95,34,1.87,18.41
WANGARATTA AERO,27/03/2025,3.9,0.0, ,31.2,15.1,93,35,1.56,18.86
WANGARATTA AERO,28/03/2025,2.5,0.0, ,27.6,16.5,93,45,0.97,11.83
WANGARATTA AERO,29/03/2025,2.5,4.2, ,24.5,18.2,96,56,3.09,7.95
WANGARATTA AERO,30/03/2025,4.6,0.4, ,26.2,17.1,74,43,4.59,16.82
WANGARATTA AERO,31/03/2025,4.5,0.0, ,24.7,13.7,77,39,4.47,18.08
Totals:,,141.8,65.6, ,,,,,, 
