'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WARRNAMBOOL AIRPORT NDB Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WARRNAMBOOL AIRPORT NDB,01/09/2024,2.6,2.6, ,17.3,10.6,94,63,11.11,11.51
WARRNAMBOOL AIRPORT NDB,02/09/2024,2.5,18.0, ,12.7,5.7,92,58,13.16,12.56
WARRNAMBOOL AIRPORT NDB,03/09/2024,2.3,4.0, ,16.5,6.0,93,57,4.09,14.55
WARRNAMBOOL AIRPORT NDB,04/09/2024,3.0,0.0, ,18.1,4.8,92,50,7.31,9.65
WARRNAMBOOL AIRPORT NDB,05/09/2024,3.3,0.2, ,17.5,10.4,88,38,7.65,5.86
WARRNAMBOOL AIRPORT NDB,06/09/2024,1.4,4.6, ,15.3,10.7,94,77,5.14,4.69
WARRNAMBOOL AIRPORT NDB,07/09/2024,2.2,4.2, ,16.1,5.2,95,64,5.44,13.60
WARRNAMBOOL AIRPORT NDB,08/09/2024,2.2,1.8, ,16.1,8.0,93,69,8.29,12.45
WARRNAMBOOL AIRPORT NDB,09/09/2024,1.9,1.8, ,14.8,8.4,95,71,6.23,12.53
WARRNAMBOOL AIRPORT NDB,10/09/2024,2.2,0.8, ,16.7,7.3,94,64,4.38,14.02
WARRNAMBOOL AIRPORT NDB,11/09/2024,1.8,0.2, ,15.4,7.6,96,69,5.53,8.45
WARRNAMBOOL AIRPORT NDB,12/09/2024,1.9,7.4, ,13.4,6.3,88,67,4.94,11.53
WARRNAMBOOL AIRPORT NDB,13/09/2024,1.8,0.0, ,14.3,9.8,96,69,4.85,9.85
WARRNAMBOOL AIRPORT NDB,14/09/2024,2.2,4.4, ,10.8,7.7,94,57,7.91,14.50
WARRNAMBOOL AIRPORT NDB,15/09/2024,2.3,1.8, ,13.2,5.3,84,61,5.59,14.29
WARRNAMBOOL AIRPORT NDB,16/09/2024, ,0.0, , ,7.6,96,68,6.19,12.64
WARRNAMBOOL AIRPORT NDB,17/09/2024,2.2, , ,14.5,7.9,95,61,4.91,12.54
WARRNAMBOOL AIRPORT NDB,18/09/2024,3.3,0.0, ,18.1,7.1,96,51,8.17,16.03
WARRNAMBOOL AIRPORT NDB,19/09/2024,2.4,8.4, ,14.5,7.2,96,65,8.81,16.16
WARRNAMBOOL AIRPORT NDB,20/09/2024,2.1,3.4, ,15.3,7.1,94,72,8.09,13.48
WARRNAMBOOL AIRPORT NDB,21/09/2024,2.4,10.2, ,15.3,8.8,93,65,6.37,13.63
WARRNAMBOOL AIRPORT NDB,22/09/2024,3.1,2.0, ,16.6,9.3,95,49,6.38,16.50
WARRNAMBOOL AIRPORT NDB,23/09/2024,1.8,0.0, ,15.9,10.6,96,80,5.53,11.39
WARRNAMBOOL AIRPORT NDB,24/09/2024,2.8,0.8, ,19.9,10.4,98,43,3.36,11.76
WARRNAMBOOL AIRPORT NDB,25/09/2024,1.6,6.0, ,11.6,10.3,97,66,4.78,7.59
WARRNAMBOOL AIRPORT NDB,26/09/2024,2.7,2.4, ,13.8,5.2,79,58,5.38,15.83
WARRNAMBOOL AIRPORT NDB,27/09/2024,2.8,0.0, ,16.8,0.5,96,55,2.84,20.81
WARRNAMBOOL AIRPORT NDB,28/09/2024,4.4,0.0, ,22.2,5.0,93,42,6.51,18.53
WARRNAMBOOL AIRPORT NDB,29/09/2024,3.6,4.4, ,17.8,11.5,92,50,7.91,18.32
WARRNAMBOOL AIRPORT NDB,30/09/2024,2.8,0.0, ,17.5,6.4,95,67,5.99,18.89
Totals:,,71.6,89.4, ,,,,,, 
