'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WARRNAMBOOL AIRPORT NDB Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WARRNAMBOOL AIRPORT NDB,01/10/2024,2.6,0.2, ,16.4,7.8,96,68,5.02,18.32
WARRNAMBOOL AIRPORT NDB,02/10/2024,2.9,0.2, ,17.7,1.3,98,58,3.37,21.79
WARRNAMBOOL AIRPORT NDB,03/10/2024,5.5,0.2, ,25.8,6.3,94,37,6.43,22.04
WARRNAMBOOL AIRPORT NDB,04/10/2024,4.3,2.0, ,21.9,14.4,94,47,7.15,19.02
WARRNAMBOOL AIRPORT NDB,05/10/2024,2.4,2.8, ,16.0,8.0,95,65,6.03,13.00
WARRNAMBOOL AIRPORT NDB,06/10/2024,3.3,3.4, ,17.7,10.0,93,58,7.98,17.92
WARRNAMBOOL AIRPORT NDB,07/10/2024,2.8,4.0, ,14.6,11.8,95,57,7.62,15.86
WARRNAMBOOL AIRPORT NDB,08/10/2024,2.7,2.4, ,14.0,1.8,93,53,3.70,18.92
WARRNAMBOOL AIRPORT NDB,09/10/2024,3.6,0.0, ,19.4,-0.4,94,46,3.44,23.23
WARRNAMBOOL AIRPORT NDB,10/10/2024,3.6,0.0, ,16.0,7.6,90,49,6.22,23.00
WARRNAMBOOL AIRPORT NDB,11/10/2024,2.6,0.0, ,15.7,5.5,90,63,5.31,15.23
WARRNAMBOOL AIRPORT NDB,12/10/2024,3.4,0.0, ,17.0,7.2,87,58,3.85,23.81
WARRNAMBOOL AIRPORT NDB,13/10/2024,4.5,0.0, ,22.8,4.6,94,37,5.39,17.63
WARRNAMBOOL AIRPORT NDB,14/10/2024,2.8,0.0, ,17.4,9.4,97,71,4.85,19.06
WARRNAMBOOL AIRPORT NDB,15/10/2024,3.3,0.2, ,22.6,11.1,91,61,5.67,13.64
WARRNAMBOOL AIRPORT NDB,16/10/2024,4.3,0.8, ,25.4,12.7,94,62,5.68,21.81
WARRNAMBOOL AIRPORT NDB,17/10/2024,3.5,0.4, ,24.2,15.1,91,65,7.06,13.24
WARRNAMBOOL AIRPORT NDB,18/10/2024,2.9,4.6, ,21.0,15.7,96,59,7.42,8.00
WARRNAMBOOL AIRPORT NDB,19/10/2024,2.3,6.0, ,15.8,10.0,96,71,6.19,13.18
WARRNAMBOOL AIRPORT NDB,20/10/2024,3.4,0.0, ,18.4,5.5,98,63,2.94,24.76
WARRNAMBOOL AIRPORT NDB,21/10/2024,4.4,0.2, ,24.7,6.9,98,53,3.06,25.52
WARRNAMBOOL AIRPORT NDB,22/10/2024,3.8,0.0, ,22.6,11.7,95,50,5.63,14.15
WARRNAMBOOL AIRPORT NDB,23/10/2024,3.9,0.0, ,18.8,6.6,95,46,5.67,21.45
WARRNAMBOOL AIRPORT NDB,24/10/2024,3.7,1.0, ,16.4,5.5,93,45,7.21,20.29
WARRNAMBOOL AIRPORT NDB,25/10/2024,3.6,0.8, ,15.9,5.5,82,52,4.13,24.44
WARRNAMBOOL AIRPORT NDB,26/10/2024,4.4,0.0, ,22.5,0.9,93,44,4.01,24.28
WARRNAMBOOL AIRPORT NDB,27/10/2024,3.8,0.0, ,20.3,9.4,91,63,5.10,24.03
WARRNAMBOOL AIRPORT NDB,28/10/2024,3.7,0.2, ,17.2,8.4,92,58,5.21,25.58
WARRNAMBOOL AIRPORT NDB,29/10/2024,3.0,0.0, ,17.4,7.2,91,64,4.61,17.77
WARRNAMBOOL AIRPORT NDB,30/10/2024,3.0,0.0, ,18.2,10.9,94,67,4.58,18.53
WARRNAMBOOL AIRPORT NDB,31/10/2024,3.2,0.2, ,16.8,8.1,96,61,5.49,20.71
Totals:,,107.2,29.6, ,,,,,, 
