'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WARRNAMBOOL AIRPORT NDB Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WARRNAMBOOL AIRPORT NDB,01/12/2024,3.8,25.6, ,22.4,15.1,97,60,7.77,16.43
WARRNAMBOOL AIRPORT NDB,02/12/2024,6.8,2.4, ,31.3,9.2,98,35,4.15,28.26
WARRNAMBOOL AIRPORT NDB,03/12/2024,4.4,3.4, ,24.3,17.5,96,57,7.14,18.61
WARRNAMBOOL AIRPORT NDB,04/12/2024,5.4,0.2, ,24.5,5.7,98,47,3.87,31.59
WARRNAMBOOL AIRPORT NDB,05/12/2024,8.8,0.0, ,34.5,11.6,92,17,4.34,31.63
WARRNAMBOOL AIRPORT NDB,06/12/2024,3.8,0.0, ,26.3,15.5,86,49,4.36,10.22
WARRNAMBOOL AIRPORT NDB,07/12/2024,2.9,7.2, ,21.2,17.4,96,62,6.33,8.97
WARRNAMBOOL AIRPORT NDB,08/12/2024,5.2,0.0, ,20.2,11.1,89,41,6.27,26.55
WARRNAMBOOL AIRPORT NDB,09/12/2024,3.8,0.0, ,19.8,9.5,89,54,4.15,19.36
WARRNAMBOOL AIRPORT NDB,10/12/2024,4.8,0.0, ,20.9,8.1,91,46,4.64,26.96
WARRNAMBOOL AIRPORT NDB,11/12/2024,6.6,0.0, ,22.6,9.3,92,21,6.64,29.61
WARRNAMBOOL AIRPORT NDB,12/12/2024,5.0,0.0, ,24.7,14.0,96,56,5.78,25.09
WARRNAMBOOL AIRPORT NDB,13/12/2024,4.1,1.4, ,20.6,13.8,97,56,4.68,22.00
WARRNAMBOOL AIRPORT NDB,14/12/2024,4.4,0.2, ,22.4,7.1,97,53,3.23,26.00
WARRNAMBOOL AIRPORT NDB,15/12/2024,7.6,0.0, ,32.0,7.9,96,33,4.40,32.12
WARRNAMBOOL AIRPORT NDB,16/12/2024,14.1,0.0, ,41.2,18.7,86,6,9.07,24.38
WARRNAMBOOL AIRPORT NDB,17/12/2024,5.8,0.0, ,22.6,12.0,90,42,8.37,27.05
WARRNAMBOOL AIRPORT NDB,18/12/2024,5.0,0.0, ,21.0,6.2,95,49,5.15,31.62
WARRNAMBOOL AIRPORT NDB,19/12/2024,6.2,0.0, ,27.3,5.1,97,36,3.71,30.94
WARRNAMBOOL AIRPORT NDB,20/12/2024,8.9,0.0, ,32.3,10.6,91,24,6.58,29.31
WARRNAMBOOL AIRPORT NDB,21/12/2024,4.9,0.0, ,19.8,13.4,85,47,6.53,24.51
WARRNAMBOOL AIRPORT NDB,22/12/2024,4.2,0.0, ,20.8,8.0,93,45,6.32,16.92
WARRNAMBOOL AIRPORT NDB,23/12/2024,4.9,7.8, ,18.4,9.8,85,45,8.85,24.90
WARRNAMBOOL AIRPORT NDB,24/12/2024,3.0,0.2, ,20.4,12.4,93,66,4.07,14.77
WARRNAMBOOL AIRPORT NDB,25/12/2024,8.2,0.0, ,34.3,8.1,98,24,3.94,31.76
WARRNAMBOOL AIRPORT NDB,26/12/2024,9.9,0.0, ,35.5,17.7,78,13,8.62,9.94
WARRNAMBOOL AIRPORT NDB,27/12/2024,5.2,0.4, ,20.8,11.9,92,37,7.34,22.14
WARRNAMBOOL AIRPORT NDB,28/12/2024,4.3,0.0, ,21.2,8.5,88,49,6.83,17.01
WARRNAMBOOL AIRPORT NDB,29/12/2024,4.9,0.4, ,23.8,10.7,95,51,5.85,23.68
WARRNAMBOOL AIRPORT NDB,30/12/2024,4.9,0.0, ,24.4,10.1,98,54,4.66,26.56
WARRNAMBOOL AIRPORT NDB,31/12/2024,5.0,0.0, ,23.2,7.9,97,52,3.78,29.24
Totals:,,176.8,49.2, ,,,,,, 
