'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WESTMERE Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WESTMERE,01/12/2024,3.7,16.8, ,22.5,14.8,94,62,5.23,16.97
WESTMERE,02/12/2024,8.5,2.0, ,32.8,10.2,98,19,5.30,28.98
WESTMERE,03/12/2024,5.3,15.4, ,26.3,17.6,98,53,5.53,24.91
WESTMERE,04/12/2024,6.0,0.0, ,27.1,5.7,97,27,2.49,31.13
WESTMERE,05/12/2024,7.5,0.0, ,34.5,9.1,94,14,2.54,30.97
WESTMERE,06/12/2024,2.9,0.0, ,23.6,15.7,87,45,2.74,8.06
WESTMERE,07/12/2024,3.5,11.8, ,24.6,16.5,97,67,4.60,16.17
WESTMERE,08/12/2024,4.8,0.0, ,20.6,9.8,93,44,3.89,27.36
WESTMERE,09/12/2024,4.6,0.0, ,22.0,6.0,97,45,2.47,27.49
WESTMERE,10/12/2024,4.6,0.0, ,21.4,9.6,91,43,3.03,24.78
WESTMERE,11/12/2024,5.6,0.0, ,23.5,8.5,94,40,4.16,30.27
WESTMERE,12/12/2024,6.3,0.0, ,26.6,13.3,93,38,4.37,29.75
WESTMERE,13/12/2024,5.5,0.0, ,23.0,14.0,94,41,3.93,28.93
WESTMERE,14/12/2024,5.4,0.0, ,26.6,9.7,93,24,2.80,23.14
WESTMERE,15/12/2024,7.1,0.0, ,34.9,9.3,96,19,2.09,31.45
WESTMERE,16/12/2024,13.1,0.0, ,42.4,18.9,91,14,8.83,21.17
WESTMERE,17/12/2024,6.0,3.8, ,22.6,13.4,90,35,6.04,28.96
WESTMERE,18/12/2024,6.2,0.0, ,24.8,8.5,96,32,4.59,31.23
WESTMERE,19/12/2024,7.5,0.0, ,31.9,6.8,97,17,3.30,31.12
WESTMERE,20/12/2024,9.2,0.0, ,33.1,11.9,80,18,6.04,28.00
WESTMERE,21/12/2024,6.0,0.0, ,22.3,12.0,91,33,5.81,29.68
WESTMERE,22/12/2024,5.5,0.0, ,23.5,7.0,91,33,4.59,25.11
WESTMERE,23/12/2024,4.4,1.6, ,18.2,7.8,87,40,6.51,20.97
WESTMERE,24/12/2024,4.1,0.0, ,22.9,10.7,96,50,2.97,20.49
WESTMERE,25/12/2024,7.3,0.0, ,33.9,7.4,98,21,2.93,28.87
WESTMERE,26/12/2024,10.7,0.0, ,34.9,15.8,76,11,9.26,13.22
WESTMERE,27/12/2024,5.1,0.2, ,20.6,12.1,90,32,5.26,22.58
WESTMERE,28/12/2024,4.2,0.2, ,22.4,7.2,93,44,4.43,18.01
WESTMERE,29/12/2024,4.0,2.0, ,23.3,7.4,94,45,3.44,17.61
WESTMERE,30/12/2024,5.5,0.0, ,28.5,8.3,98,37,3.40,23.77
WESTMERE,31/12/2024,6.1,0.0, ,27.9,9.1,98,31,2.81,30.38
Totals:,,186.2,53.8, ,,,,,, 
