'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILSONS PROMONTORY LIGHTHOUSE Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILSONS PROMONTORY LIGHTHOUSE,01/11/2024,4.3,0.6, ,14.5,10.5,71,52,12.49,20.34
WILSONS PROMONTORY LIGHTHOUSE,02/11/2024, ,0.0, , ,10.1, , , ,24.34
WILSONS PROMONTORY LIGHTHOUSE,03/11/2024, , , , , ,73,63,11.49,24.86
WILSONS PROMONTORY LIGHTHOUSE,04/11/2024,3.7, , ,16.3,12.0,89,60,9.29,22.45
WILSONS PROMONTORY LIGHTHOUSE,05/11/2024,4.2,0.2, ,18.9,11.3,87,63,5.11,28.04
WILSONS PROMONTORY LIGHTHOUSE,06/11/2024, ,0.0, , ,13.9,88,30,9.58,18.54
WILSONS PROMONTORY LIGHTHOUSE,07/11/2024, , , ,15.3, ,87,60,7.86,25.88
WILSONS PROMONTORY LIGHTHOUSE,08/11/2024,4.4,0.0, ,15.8,12.2,81,52,12.13,23.19
WILSONS PROMONTORY LIGHTHOUSE,09/11/2024,3.8,1.2, ,15.9,11.4,81,57,7.32,21.68
WILSONS PROMONTORY LIGHTHOUSE,10/11/2024,3.8,2.4, ,16.6,12.0,89,64,5.36,25.55
WILSONS PROMONTORY LIGHTHOUSE,11/11/2024,3.7,0.0, ,17.4,12.2,91,73,4.90,27.39
WILSONS PROMONTORY LIGHTHOUSE,12/11/2024,4.4,0.0, ,19.0,13.5,91,60,6.88,28.03
WILSONS PROMONTORY LIGHTHOUSE,13/11/2024,3.2,8.6, ,19.0,15.1,95,63,11.16,13.29
WILSONS PROMONTORY LIGHTHOUSE,14/11/2024,4.5,2.2, ,16.0,11.7,71,55,11.98,21.54
WILSONS PROMONTORY LIGHTHOUSE,15/11/2024,4.5,0.0, ,17.3,11.5,86,54,7.04,28.33
WILSONS PROMONTORY LIGHTHOUSE,16/11/2024,6.2,0.0, ,25.9,13.7,96,43,7.75,28.26
WILSONS PROMONTORY LIGHTHOUSE,17/11/2024,6.0,0.0, ,25.0,15.2,90,38,11.25,15.02
WILSONS PROMONTORY LIGHTHOUSE,18/11/2024,3.9,13.4, ,15.7,11.7,85,58,14.94,20.31
WILSONS PROMONTORY LIGHTHOUSE,19/11/2024,3.9,0.6, ,14.2,10.9,69,57,9.88,18.45
WILSONS PROMONTORY LIGHTHOUSE,20/11/2024,4.2,0.0, ,15.8,11.6,79,63,7.26,28.44
WILSONS PROMONTORY LIGHTHOUSE,21/11/2024,3.0,0.0, ,17.2,13.0,97,73,9.59,20.99
WILSONS PROMONTORY LIGHTHOUSE,22/11/2024,6.2,0.2, ,24.4,13.6,98,30,5.49,29.04
WILSONS PROMONTORY LIGHTHOUSE,23/11/2024,7.3,0.0, ,30.8,14.2,83,27,6.36,19.04
WILSONS PROMONTORY LIGHTHOUSE,24/11/2024,2.3,2.4, ,19.5,17.9,93,72,3.72,9.14
WILSONS PROMONTORY LIGHTHOUSE,25/11/2024,1.4,0.2, ,17.1,15.6,98,92,2.93,7.32
WILSONS PROMONTORY LIGHTHOUSE,26/11/2024,1.9,1.4, ,18.7,15.8,98,96,3.68,12.40
WILSONS PROMONTORY LIGHTHOUSE,27/11/2024,3.9, , ,25.8,15.9,98,69,7.50,17.80
WILSONS PROMONTORY LIGHTHOUSE,28/11/2024,3.2,33.4, ,19.1,14.4,97,65,7.49,16.74
WILSONS PROMONTORY LIGHTHOUSE,29/11/2024,1.1,2.4, ,17.0,14.3,98,93,16.45,7.93
WILSONS PROMONTORY LIGHTHOUSE,30/11/2024, ,3.6, ,22.0,14.6,99,84,12.86, 
Totals:,,99,72.8, ,,,,,, 
