'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILSONS PROMONTORY LIGHTHOUSE Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILSONS PROMONTORY LIGHTHOUSE,01/12/2024,5.1,24.4, ,24.8,15.8,91,50,5.53,22.67
WILSONS PROMONTORY LIGHTHOUSE,02/12/2024,4.6,3.6, ,23.1,15.4,92,72,7.06,28.55
WILSONS PROMONTORY LIGHTHOUSE,03/12/2024,4.8,8.0, ,24.3,16.5,96,52,9.92,17.59
WILSONS PROMONTORY LIGHTHOUSE,04/12/2024,4.5,0.0, ,18.0,13.9,86,66,7.36,30.84
WILSONS PROMONTORY LIGHTHOUSE,05/12/2024,4.9,0.0, ,24.2,14.4,92,73,6.46,31.10
WILSONS PROMONTORY LIGHTHOUSE,06/12/2024,6.2,0.0, ,26.2,16.8,73,31,6.41,16.52
WILSONS PROMONTORY LIGHTHOUSE,07/12/2024,3.7,1.4, ,20.7,18.6,94,59,12.93,11.26
WILSONS PROMONTORY LIGHTHOUSE,08/12/2024,4.9,6.2, ,17.2,13.9,82,51,13.54,25.22
WILSONS PROMONTORY LIGHTHOUSE,09/12/2024,4.4,0.0, ,18.2,13.9,74,57,8.66,18.59
WILSONS PROMONTORY LIGHTHOUSE,10/12/2024,4.2,0.0, ,18.4,14.4,87,61,9.88,23.70
WILSONS PROMONTORY LIGHTHOUSE,11/12/2024,4.5,0.0, ,17.9,13.6,89,54,12.95,23.92
WILSONS PROMONTORY LIGHTHOUSE,12/12/2024,2.5,3.2, ,18.6,14.3,95,77,12.52,13.19
WILSONS PROMONTORY LIGHTHOUSE,13/12/2024,3.7,2.4, ,18.6,14.2,96,64,9.56,21.85
WILSONS PROMONTORY LIGHTHOUSE,14/12/2024,3.8,0.0, ,17.9,13.1,79,63,2.80,21.92
WILSONS PROMONTORY LIGHTHOUSE,15/12/2024,4.7,0.0, ,21.2,13.4,94,70,6.34,31.76
WILSONS PROMONTORY LIGHTHOUSE,16/12/2024,8.9,0.0, ,32.4,16.2,98,37,11.40,27.59
WILSONS PROMONTORY LIGHTHOUSE,17/12/2024,5.0,0.2, ,19.2,15.7,85,55,12.93,25.21
WILSONS PROMONTORY LIGHTHOUSE,18/12/2024,5.2,1.0, ,18.1,14.0,80,55,9.22,31.20
WILSONS PROMONTORY LIGHTHOUSE,19/12/2024,4.9,0.0, ,19.4,13.3,84,62,8.59,31.70
WILSONS PROMONTORY LIGHTHOUSE,20/12/2024,4.6,0.0, ,19.0,15.6,86,71,9.54,31.79
WILSONS PROMONTORY LIGHTHOUSE,21/12/2024,4.3,0.0, ,17.6,14.9,88,62,13.48,25.70
WILSONS PROMONTORY LIGHTHOUSE,22/12/2024,3.9,0.0, ,17.8,13.2,95,57,9.16,22.47
WILSONS PROMONTORY LIGHTHOUSE,23/12/2024,3.9,6.0, ,15.4,11.6,86,55,18.20,17.37
WILSONS PROMONTORY LIGHTHOUSE,24/12/2024,3.5,1.4, ,18.8,11.5,92,65,13.34,17.46
WILSONS PROMONTORY LIGHTHOUSE,25/12/2024,4.4,0.2, ,20.6,14.6,91,68,6.95,27.15
WILSONS PROMONTORY LIGHTHOUSE,26/12/2024,10.5,0.0, ,36.3,15.6,90,19,8.82,20.14
WILSONS PROMONTORY LIGHTHOUSE,27/12/2024,4.8,1.4, ,18.3,14.2,83,50,13.89,20.36
WILSONS PROMONTORY LIGHTHOUSE,28/12/2024,4.1,0.0, ,19.3,14.0,86,57,8.55,18.78
WILSONS PROMONTORY LIGHTHOUSE,29/12/2024,4.3,1.2, ,19.4,14.6,87,63,8.69,23.37
WILSONS PROMONTORY LIGHTHOUSE,30/12/2024,4.7,0.0, ,21.4,15.3,86,65,4.17,27.25
WILSONS PROMONTORY LIGHTHOUSE,31/12/2024,4.6,0.0, ,18.9,16.2,87,67,5.89,29.39
Totals:,,148.1,60.6, ,,,,,, 
