'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILSONS PROMONTORY LIGHTHOUSE Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILSONS PROMONTORY LIGHTHOUSE,01/02/2025, ,0.0, , ,15.5,93,68,7.71,23.37
WILSONS PROMONTORY LIGHTHOUSE,02/02/2025,6.9, , ,30.9,18.8,96,36,7.14,21.96
WILSONS PROMONTORY LIGHTHOUSE,03/02/2025,7.4,0.0, ,31.7,20.4,92,30,7.50,19.10
WILSONS PROMONTORY LIGHTHOUSE,04/02/2025,7.8,0.0, ,32.6,20.2,83,30,7.96,16.95
WILSONS PROMONTORY LIGHTHOUSE,05/02/2025, ,0.0, , ,16.2,91,75,9.47,8.86
WILSONS PROMONTORY LIGHTHOUSE,06/02/2025, , , ,19.9, ,97,80,9.68,14.46
WILSONS PROMONTORY LIGHTHOUSE,07/02/2025,2.9,0.2, ,21.5,18.2,97,76,6.81,15.37
WILSONS PROMONTORY LIGHTHOUSE,08/02/2025,2.3,5.0, ,18.6,15.6,96,71,9.27,8.08
WILSONS PROMONTORY LIGHTHOUSE,09/02/2025,2.8,11.0, ,18.5,15.0,90,71,14.29,9.24
WILSONS PROMONTORY LIGHTHOUSE,10/02/2025,2.1,0.2, ,20.4,15.1,96,77,12.84,5.97
WILSONS PROMONTORY LIGHTHOUSE,11/02/2025,2.1,0.0, ,21.3,17.1,96,86,11.64,11.33
WILSONS PROMONTORY LIGHTHOUSE,12/02/2025,3.0,0.0, ,22.9,19.1,97,86,9.55,20.88
WILSONS PROMONTORY LIGHTHOUSE,13/02/2025,5.0,0.0, ,27.9,18.9,95,58,9.33,18.23
WILSONS PROMONTORY LIGHTHOUSE,14/02/2025,3.6,0.0, ,21.2,17.8,94,65,9.77,16.04
WILSONS PROMONTORY LIGHTHOUSE,15/02/2025,3.7,8.2, ,15.5,12.3,89,52,16.39,13.88
WILSONS PROMONTORY LIGHTHOUSE,16/02/2025,4.5,8.4, ,15.7,9.9,66,50,10.91,19.89
WILSONS PROMONTORY LIGHTHOUSE,17/02/2025,4.7,0.0, ,17.7,13.1,68,54,6.73,25.45
WILSONS PROMONTORY LIGHTHOUSE,18/02/2025,3.8,0.0, ,19.0,14.1,94,57,12.57,16.37
WILSONS PROMONTORY LIGHTHOUSE,19/02/2025,3.7,1.4, ,18.1,14.0,84,60,12.08,13.53
WILSONS PROMONTORY LIGHTHOUSE,20/02/2025,4.6,0.0, ,17.7,13.4,71,52,7.58,22.93
WILSONS PROMONTORY LIGHTHOUSE,21/02/2025,4.3,0.0, ,22.3,13.4,89,63,5.96,24.76
WILSONS PROMONTORY LIGHTHOUSE,22/02/2025, ,0.0, , ,17.1, , , ,21.82
WILSONS PROMONTORY LIGHTHOUSE,23/02/2025, , , , , , , , ,15.72
WILSONS PROMONTORY LIGHTHOUSE,24/02/2025, , , ,20.1, , , , ,20.50
WILSONS PROMONTORY LIGHTHOUSE,25/02/2025,4.2,0.0, ,20.8,15.7,85,60,5.77,22.96
WILSONS PROMONTORY LIGHTHOUSE,26/02/2025,6.6,0.0, ,28.0,17.0,92,32,7.74,21.10
WILSONS PROMONTORY LIGHTHOUSE,27/02/2025,3.1,0.0, ,21.1,16.9,87,68,4.47,14.65
WILSONS PROMONTORY LIGHTHOUSE,28/02/2025,3.4,0.2, ,20.5,17.7,86,69,8.39,14.42
Totals:,,92.5,34.6, ,,,,,, 
