'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for WILSONS PROMONTORY LIGHTHOUSE Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
WILSONS PROMONTORY LIGHTHOUSE,01/04/2025,2.9,1.8, ,17.4,13.6,91,57,9.55,10.52
WILSONS PROMONTORY LIGHTHOUSE,02/04/2025,2.8,0.0, ,18.3,15.7,82,68,6.83,13.03
WILSONS PROMONTORY LIGHTHOUSE,03/04/2025,3.2,0.0, ,18.3,15.1,87,62,9.51,14.99
WILSONS PROMONTORY LIGHTHOUSE,04/04/2025,3.1,0.2, ,17.0,13.4,84,57,10.77,7.84
WILSONS PROMONTORY LIGHTHOUSE,05/04/2025,3.7,5.0, ,15.6,10.8,92,44,16.79,9.06
WILSONS PROMONTORY LIGHTHOUSE,06/04/2025,3.4,0.0, ,17.9,11.8,90,55,13.31,12.70
WILSONS PROMONTORY LIGHTHOUSE,07/04/2025,3.5,4.8, ,16.2,12.7,86,50,15.10,6.97
WILSONS PROMONTORY LIGHTHOUSE,08/04/2025,2.1,1.0, ,16.4,12.8,90,70,6.45,10.69
WILSONS PROMONTORY LIGHTHOUSE,09/04/2025,1.7,0.2, ,20.6,13.4,83,68,1.52,8.12
WILSONS PROMONTORY LIGHTHOUSE,10/04/2025, ,0.0, , ,14.1,85,36,4.29,15.20
WILSONS PROMONTORY LIGHTHOUSE,11/04/2025, , , ,17.6, ,87,36,6.54,10.57
WILSONS PROMONTORY LIGHTHOUSE,12/04/2025,4.0,0.0, ,27.3,14.1,90,53,5.96,14.47
WILSONS PROMONTORY LIGHTHOUSE,13/04/2025,6.5,0.0, ,29.8,16.8,77,26,7.36,13.38
WILSONS PROMONTORY LIGHTHOUSE,14/04/2025,2.1,2.8, ,17.8,14.8,91,71,9.99,5.72
WILSONS PROMONTORY LIGHTHOUSE,15/04/2025,3.3,0.0, ,18.1,15.5,80,65,12.70,12.08
WILSONS PROMONTORY LIGHTHOUSE,16/04/2025,2.4,0.0, ,18.5,16.1,87,71,8.66,9.14
WILSONS PROMONTORY LIGHTHOUSE,17/04/2025, ,0.2, , ,16.1,88,75,7.48,13.94
WILSONS PROMONTORY LIGHTHOUSE,18/04/2025, , , ,21.9, ,90,62,7.86,12.63
WILSONS PROMONTORY LIGHTHOUSE,19/04/2025,3.8,0.0, ,23.3,16.2,90,42,6.87,9.10
WILSONS PROMONTORY LIGHTHOUSE,20/04/2025,3.3,0.0, ,24.3,16.8,87,39,4.49,7.14
WILSONS PROMONTORY LIGHTHOUSE,21/04/2025,2.8,0.4, ,19.4,16.4,90,56,6.95,8.89
WILSONS PROMONTORY LIGHTHOUSE,22/04/2025,1.5,0.0, ,17.3,14.4,93,77,6.59,5.49
WILSONS PROMONTORY LIGHTHOUSE,23/04/2025,2.0,3.6, ,18.1,14.8,92,76,10.31,9.88
WILSONS PROMONTORY LIGHTHOUSE,24/04/2025,3.5,0.0, ,23.3,15.8,94,45,6.65,10.28
WILSONS PROMONTORY LIGHTHOUSE,25/04/2025,2.6,0.0, ,20.7,17.1,91,44,4.53,4.98
WILSONS PROMONTORY LIGHTHOUSE,26/04/2025,1.6,8.0, ,18.7,16.3,89,79,4.78,6.18
WILSONS PROMONTORY LIGHTHOUSE,27/04/2025,2.5,0.0, ,16.0,14.8,81,62,7.63,7.11
WILSONS PROMONTORY LIGHTHOUSE,28/04/2025,2.0,0.0, ,17.1,14.6,79,71,5.38,7.15
WILSONS PROMONTORY LIGHTHOUSE,29/04/2025,2.4,0.0, ,17.2,15.2,83,57,5.84,6.72
WILSONS PROMONTORY LIGHTHOUSE,30/04/2025,2.7,0.0, ,15.9,13.3,81,51,6.62,8.68
Totals:,,75.4,28, ,,,,,, 
