'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAM AIRPORT Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAM AIRPORT,01/09/2024,4.9,0.0, ,19.2,13.9,69,44,11.62,14.43
YARRAM AIRPORT,02/09/2024,2.8,4.6, ,12.2,6.8,100,41,13.15,9.44
YARRAM AIRPORT,03/09/2024,1.8,5.4, ,15.2,6.6,100,70,5.62,11.92
YARRAM AIRPORT,04/09/2024,2.4,0.0, ,20.3,1.6,100,45,2.36,13.91
YARRAM AIRPORT,05/09/2024,4.9,0.0, ,24.6,10.4,86,30,7.30,8.01
YARRAM AIRPORT,06/09/2024,4.9,0.6, ,25.9,13.9,100,32,7.04,14.11
YARRAM AIRPORT,07/09/2024,2.8,2.4, ,17.4,4.8,100,47,4.63,16.75
YARRAM AIRPORT,08/09/2024,3.0,0.6, ,17.6,7.5,96,52,7.51,15.39
YARRAM AIRPORT,09/09/2024,2.3,0.6, ,16.0,10.3,99,61,7.49,11.58
YARRAM AIRPORT,10/09/2024,2.6,0.2, ,19.0,7.9,100,56,3.50,17.37
YARRAM AIRPORT,11/09/2024,2.1,0.0, ,19.0,4.0,100,62,2.74,12.32
YARRAM AIRPORT,12/09/2024,2.1,4.2, ,15.3,7.3,100,61,4.17,12.92
YARRAM AIRPORT,13/09/2024,1.9,0.4, ,16.2,7.0,100,73,5.51,13.67
YARRAM AIRPORT,14/09/2024,2.0,5.2, ,12.2,8.1,100,57,5.77,11.72
YARRAM AIRPORT,15/09/2024,2.6,2.6, ,13.2,3.2,90,52,5.77,17.32
YARRAM AIRPORT,16/09/2024,2.1,0.2, ,14.9,8.2,100,68,8.34,14.24
YARRAM AIRPORT,17/09/2024,2.4,1.4, ,14.1,9.0,100,56,6.71,14.36
YARRAM AIRPORT,18/09/2024,4.0,0.0, ,18.2,1.3,100,37,8.09,18.85
YARRAM AIRPORT,19/09/2024,3.0,6.2, ,15.3,6.4,100,50,8.63,16.94
YARRAM AIRPORT,20/09/2024,3.0,3.4, ,16.2,7.8,90,56,8.65,14.18
YARRAM AIRPORT,21/09/2024,2.8,4.6, ,15.4,8.8,96,56,8.08,16.12
YARRAM AIRPORT,22/09/2024,3.2,0.0, ,17.5,10.5,96,55,7.94,16.82
YARRAM AIRPORT,23/09/2024,2.9,0.0, ,18.3,9.3,100,57,7.08,15.11
YARRAM AIRPORT,24/09/2024,2.8,0.0, ,22.6,10.3,100,54,3.03,13.13
YARRAM AIRPORT,25/09/2024,1.4,0.2, ,14.3,10.6,100,75,4.08,6.46
YARRAM AIRPORT,26/09/2024,2.0,3.8, ,13.2,4.3,91,60,4.15,11.51
YARRAM AIRPORT,27/09/2024,2.7,0.0, ,16.0,2.2,100,51,2.65,19.88
YARRAM AIRPORT,28/09/2024,3.5,0.0, ,20.6,1.3,100,38,2.84,20.85
YARRAM AIRPORT,29/09/2024,1.6,0.0, ,18.1,4.5,100,60,2.78,4.33
YARRAM AIRPORT,30/09/2024,3.0,0.8, ,18.5,2.9,100,57,4.92,18.52
Totals:,,83.5,47.4, ,,,,,, 
