'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAM AIRPORT Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAM AIRPORT,01/12/2024,6.1,14.0, ,28.2,15.1,100,34,4.91,23.88
YARRAM AIRPORT,02/12/2024,4.9,0.0, ,24.2,12.1,100,67,2.88,30.46
YARRAM AIRPORT,03/12/2024,4.5,4.2, ,28.6,16.6,100,64,5.75,19.69
YARRAM AIRPORT,04/12/2024,4.9,1.4, ,21.3,8.8,100,53,3.56,31.50
YARRAM AIRPORT,05/12/2024, ,0.2, , ,10.5,100,69,3.54,31.58
YARRAM AIRPORT,06/12/2024, , , ,34.5, ,92,30,2.93,18.69
YARRAM AIRPORT,07/12/2024,3.8,0.8, ,26.6,17.4,100,63,6.98,13.80
YARRAM AIRPORT,08/12/2024,5.7,0.2, ,20.8,11.6,85,38,8.38,26.32
YARRAM AIRPORT,09/12/2024,4.3,0.0, ,21.8,9.1,91,52,4.62,22.20
YARRAM AIRPORT,10/12/2024,5.2,0.0, ,22.3,10.4,95,45,5.34,28.39
YARRAM AIRPORT,11/12/2024,5.3,0.0, ,22.6,9.2,97,39,6.12,25.64
YARRAM AIRPORT,12/12/2024,5.6,0.0, ,25.2,14.5,100,56,6.60,31.38
YARRAM AIRPORT,13/12/2024,4.7,0.0, ,22.4,13.5,100,54,6.22,25.57
YARRAM AIRPORT,14/12/2024,3.7,0.0, ,21.2,7.5,100,60,2.49,22.04
YARRAM AIRPORT,15/12/2024,4.6,0.0, ,25.3,9.0,100,66,3.63,27.48
YARRAM AIRPORT,16/12/2024,8.5,0.0, ,38.3,16.0,100,23,5.60,18.44
YARRAM AIRPORT,17/12/2024,7.4,0.0, ,25.5,17.0,79,32,9.02,25.89
YARRAM AIRPORT,18/12/2024,4.7,0.0, ,21.0,9.7,100,50,4.26,28.13
YARRAM AIRPORT,19/12/2024,5.4,0.0, ,23.1,5.3,100,45,4.71,32.15
YARRAM AIRPORT,20/12/2024,5.3,0.0, ,24.2,9.3,100,55,4.59,31.12
YARRAM AIRPORT,21/12/2024,5.7,0.0, ,23.0,13.7,92,46,7.49,28.11
YARRAM AIRPORT,22/12/2024,5.5,0.0, ,23.5,9.3,99,42,5.52,28.04
YARRAM AIRPORT,23/12/2024,4.0,8.8, ,18.5,9.8,97,51,9.27,19.46
YARRAM AIRPORT,24/12/2024,5.0,5.6, ,23.2,10.8,100,53,7.71,27.08
YARRAM AIRPORT,25/12/2024,6.0,0.2, ,30.9,12.3,100,62,3.96,31.08
YARRAM AIRPORT,26/12/2024,10.7,0.0, ,38.8,15.2,100,16,6.58,25.39
YARRAM AIRPORT,27/12/2024,5.6,0.0, ,22.2,15.4,88,37,8.04,21.62
YARRAM AIRPORT,28/12/2024,5.5,0.4, ,25.2,7.7,99,33,5.65,20.83
YARRAM AIRPORT,29/12/2024,5.6,0.6, ,26.2,8.0,100,43,5.43,25.66
YARRAM AIRPORT,30/12/2024,5.3,0.0, ,26.3,7.6,100,44,2.94,27.82
YARRAM AIRPORT,31/12/2024,4.3,0.0, ,24.3,12.1,100,48,3.38,20.79
Totals:,,157.8,36.4, ,,,,,, 
