'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAM AIRPORT Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAM AIRPORT,01/01/2025,5.7,0.0, ,24.0,7.7,100,40,6.37,27.85
YARRAM AIRPORT,02/01/2025,4.9,0.0, ,21.0,8.7,99,44,4.13,29.38
YARRAM AIRPORT,03/01/2025,5.4,0.0, ,25.5,4.3,100,50,3.86,31.60
YARRAM AIRPORT,04/01/2025,9.1,0.0, ,37.9,10.2,100,12,3.66,29.54
YARRAM AIRPORT,05/01/2025,7.0,0.0, ,33.1,15.4,80,29,3.24,26.97
YARRAM AIRPORT,06/01/2025,3.4,0.0, ,19.9,18.9,100,37,6.47,7.72
YARRAM AIRPORT,07/01/2025,3.9,8.2, ,21.3,9.2,100,56,4.76,21.27
YARRAM AIRPORT,08/01/2025,5.7,0.6, ,23.4,14.1,100,43,5.40,30.92
YARRAM AIRPORT,09/01/2025,5.1,0.0, ,27.8,10.5,100,45,2.94,24.10
YARRAM AIRPORT,10/01/2025,4.0,0.2, ,25.1,16.5,100,59,4.22,18.03
YARRAM AIRPORT,11/01/2025,5.8,0.0, ,28.3,16.8,100,55,4.07,28.77
YARRAM AIRPORT,12/01/2025,4.8,0.0, ,30.9,13.1,100,47,4.24,15.07
YARRAM AIRPORT,13/01/2025,5.1,25.2, ,26.9,16.6,100,61,3.19,27.48
YARRAM AIRPORT,14/01/2025,3.9,0.0, ,25.1,17.2,100,68,3.73,20.38
YARRAM AIRPORT,15/01/2025,3.1,0.0, ,26.9,17.9,100,63,6.20,8.03
YARRAM AIRPORT,16/01/2025,5.0,9.4, ,22.9,11.4,94,46,6.69,23.42
YARRAM AIRPORT,17/01/2025, ,0.0, ,23.3,13.1, , , ,27.73
YARRAM AIRPORT,18/01/2025,5.9,0.0, ,23.8,15.2,78,49,7.60,25.49
YARRAM AIRPORT,19/01/2025,5.7,0.0, ,25.1,13.7,100,47,5.55,29.71
YARRAM AIRPORT,20/01/2025,4.3,0.0, ,24.8,8.9,100,54,3.24,22.30
YARRAM AIRPORT,21/01/2025,6.2,0.0, ,27.8,11.7,100,33,3.59,29.99
YARRAM AIRPORT,22/01/2025,5.6,0.0, ,24.8,16.2,100,43,6.81,24.99
YARRAM AIRPORT,23/01/2025,3.2,0.0, ,22.5,7.7,100,54,4.32,12.29
YARRAM AIRPORT,24/01/2025,5.6,1.2, ,24.4,11.9,100,38,6.21,25.56
YARRAM AIRPORT,25/01/2025,5.6,0.0, ,26.5,12.6,100,49,5.61,27.05
YARRAM AIRPORT,26/01/2025,4.4,0.0, ,23.9,12.4,100,55,3.66,23.99
YARRAM AIRPORT,27/01/2025,9.2,0.0, ,40.2,13.7,100,19,5.24,19.23
YARRAM AIRPORT,28/01/2025,5.6,3.0, ,23.9,16.2,100,39,7.79,23.49
YARRAM AIRPORT,29/01/2025,4.5,0.0, ,23.0,7.3,100,42,4.44,21.78
YARRAM AIRPORT,30/01/2025,4.9,0.0, ,23.7,9.8,100,40,4.75,23.43
YARRAM AIRPORT,31/01/2025,4.6,0.0, ,24.3,7.6,100,51,3.14,25.80
Totals:,,157.2,47.8, ,,,,,, 
