'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAWONGA Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAWONGA,01/10/2024,3.7,0.2, ,21.8,1.8,100,42,2.86,22.18
YARRAWONGA,02/10/2024,4.1,0.0, ,24.5,3.3,99,34,2.48,22.45
YARRAWONGA,03/10/2024,4.9,0.0, ,25.9,8.1,99,32,4.00,21.47
YARRAWONGA,04/10/2024,2.8,1.8, ,22.1,12.9,99,55,4.02,9.93
YARRAWONGA,05/10/2024,3.6,1.4, ,20.6,9.7,99,40,3.42,18.14
YARRAWONGA,06/10/2024,4.2,0.4, ,21.7,11.3,99,36,4.30,19.66
YARRAWONGA,07/10/2024,3.8,0.0, ,24.0,4.6,100,43,3.73,16.64
YARRAWONGA,08/10/2024,4.0,0.0, ,18.8,2.0,99,31,3.76,23.69
YARRAWONGA,09/10/2024,3.6,0.0, ,22.0,0.6,97,30,1.44,23.82
YARRAWONGA,10/10/2024,4.7,0.0, ,26.0,5.4,99,29,2.67,23.98
YARRAWONGA,11/10/2024,5.6,0.0, ,24.1,6.4,99,19,4.56,24.17
YARRAWONGA,12/10/2024,4.7,0.0, ,24.8,2.9,96,10,2.19,24.30
YARRAWONGA,13/10/2024,5.6,0.0, ,25.6,4.7,88,17,3.59,23.64
YARRAWONGA,14/10/2024,5.0,0.0, ,29.2,10.0,83,19,2.26,20.66
YARRAWONGA,15/10/2024,5.3,0.0, ,27.2,11.1,86,37,4.76,19.70
YARRAWONGA,16/10/2024,4.7,0.0, ,25.5,13.3,92,40,3.56,21.28
YARRAWONGA,17/10/2024,4.9,0.0, ,27.6,11.7,100,35,3.97,19.04
YARRAWONGA,18/10/2024,3.3,25.8, ,25.6,17.5,100,59,6.46,10.12
YARRAWONGA,19/10/2024,5.5,11.8, ,23.6,13.0,99,37,6.88,25.38
YARRAWONGA,20/10/2024,5.1,0.0, ,26.4,7.8,99,39,3.49,25.37
YARRAWONGA,21/10/2024,4.6,0.0, ,27.2,7.4,100,35,1.53,25.80
YARRAWONGA,22/10/2024,5.0,0.0, ,29.4,10.9,98,29,2.42,21.54
YARRAWONGA,23/10/2024,4.0,0.0, ,24.2,14.7,99,30,3.08,15.37
YARRAWONGA,24/10/2024,4.6,0.4, ,20.4,6.0,93,29,4.64,21.44
YARRAWONGA,25/10/2024,4.8,0.0, ,19.6,4.3,91,30,4.54,26.24
YARRAWONGA,26/10/2024,4.4,0.0, ,23.5,1.6,96,20,1.74,26.13
YARRAWONGA,27/10/2024,5.9,0.0, ,29.1,8.6,82,17,2.60,25.41
YARRAWONGA,28/10/2024,6.2,0.0, ,24.3,10.8,88,29,6.34,26.21
YARRAWONGA,29/10/2024,6.2,0.0, ,26.7,6.4,89,22,4.28,25.85
YARRAWONGA,30/10/2024,5.9,0.0, ,27.6,6.3,99,17,3.09,26.45
YARRAWONGA,31/10/2024,5.6,0.0, ,24.8,9.1,99,29,4.74,24.19
Totals:,,146.3,41.8, ,,,,,, 
