'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAWONGA Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAWONGA,01/12/2024,6.6,1.6, ,27.8,17.5,100,27,3.75,29.40
YARRAWONGA,02/12/2024,6.8,0.0, ,32.8,12.7,99,20,2.28,29.74
YARRAWONGA,03/12/2024,5.6,28.0, ,31.4,19.8,100,44,4.44,20.17
YARRAWONGA,04/12/2024,6.7,4.8, ,31.8,13.2,96,18,2.02,31.38
YARRAWONGA,05/12/2024,6.9,0.0, ,35.8,15.9,91,28,2.21,28.65
YARRAWONGA,06/12/2024,7.9,0.0, ,38.3,20.9,100,23,3.75,24.55
YARRAWONGA,07/12/2024,7.3,22.4, ,33.6,20.8,98,37,4.08,28.67
YARRAWONGA,08/12/2024,7.0,0.0, ,26.0,12.9,88,30,5.36,31.64
YARRAWONGA,09/12/2024,4.3,0.0, ,25.5,11.6,90,32,2.33,17.64
YARRAWONGA,10/12/2024,6.6,0.0, ,28.4,10.6,94,21,3.01,30.52
YARRAWONGA,11/12/2024,6.7,0.0, ,27.2,10.2,92,25,3.64,31.66
YARRAWONGA,12/12/2024,6.7,0.0, ,31.5,10.8,95,21,2.11,31.59
YARRAWONGA,13/12/2024,7.3,0.0, ,32.5,12.7,93,24,2.99,31.15
YARRAWONGA,14/12/2024,5.9,0.0, ,32.7,10.5,96,16,1.64,26.77
YARRAWONGA,15/12/2024,6.6,0.0, ,36.2,13.5,91,17,1.27,31.43
YARRAWONGA,16/12/2024,11.0,0.0, ,41.8,19.5,70,15,4.77,29.99
YARRAWONGA,17/12/2024,8.9,0.0, ,29.8,21.1,62,16,6.68,23.50
YARRAWONGA,18/12/2024,7.8,0.0, ,29.8,12.2,63,15,3.73,31.28
YARRAWONGA,19/12/2024,7.0,0.0, ,30.3,14.8,65,19,2.44,31.14
YARRAWONGA,20/12/2024,7.4,0.0, ,34.3,14.5,74,15,2.34,30.86
YARRAWONGA,21/12/2024,8.9,0.0, ,32.0,14.8,77,18,5.40,30.68
YARRAWONGA,22/12/2024,8.2,0.0, ,29.6,10.6,75,11,4.58,30.46
YARRAWONGA,23/12/2024,7.0,0.0, ,23.8,10.1,77,25,7.99,25.83
YARRAWONGA,24/12/2024,7.0,0.0, ,28.1,8.6,78,31,4.39,30.86
YARRAWONGA,25/12/2024,6.6,0.0, ,34.6,11.3,87,15,1.50,30.88
YARRAWONGA,26/12/2024,12.1,0.0, ,39.3,16.3,61,9,6.12,30.33
YARRAWONGA,27/12/2024,8.1,0.0, ,26.4,16.3,55,23,6.04,29.71
YARRAWONGA,28/12/2024, ,0.0, , ,10.8,75,25,3.92,28.63
YARRAWONGA,29/12/2024, , , , , ,87,21,2.62,30.61
YARRAWONGA,30/12/2024, , , ,33.2, ,77,19,2.62,29.49
YARRAWONGA,31/12/2024,8.5,0.0, ,34.1,14.8,81,12,3.79,30.37
Totals:,,207.4,56.8, ,,,,,, 
