'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for YARRAWONGA Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
YARRAWONGA,01/03/2025,7.0,0.0, ,36.1,14.3,72,9,2.91,23.31
YARRAWONGA,02/03/2025,6.9,0.0, ,31.3,13.7,78,17,4.52,20.14
YARRAWONGA,03/03/2025,5.7,0.0, ,32.1,11.1,85,21,2.50,23.25
YARRAWONGA,04/03/2025,6.0,0.0, ,33.7,13.3,73,22,2.53,22.98
YARRAWONGA,05/03/2025,7.0,0.0, ,34.4,17.0,60,20,3.44,22.84
YARRAWONGA,06/03/2025,6.5,0.0, ,34.8,15.6,68,21,3.05,22.51
YARRAWONGA,07/03/2025,6.6,0.0, ,32.0,17.4,59,21,3.57,22.32
YARRAWONGA,08/03/2025,6.8,0.0, ,32.8,16.8,75,19,3.87,21.97
YARRAWONGA,09/03/2025,7.3,0.0, ,34.9,20.5,100,25,5.80,19.85
YARRAWONGA,10/03/2025,4.6,5.4, ,32.0,21.1,100,46,2.46,19.60
YARRAWONGA,11/03/2025,5.1,0.0, ,34.9,18.0,99,23,1.76,21.95
YARRAWONGA,12/03/2025,6.0,0.0, ,33.8,20.4,73,32,3.17,21.61
YARRAWONGA,13/03/2025,6.1,0.0, ,37.3,19.1,73,21,2.57,20.78
YARRAWONGA,14/03/2025,6.0,0.0, ,36.0,16.5,82,13,2.52,20.64
YARRAWONGA,15/03/2025,6.1,0.0, ,38.9,15.4,53,12,2.31,18.52
YARRAWONGA,16/03/2025,4.9,0.0, ,29.9,23.8,94,29,5.88,6.55
YARRAWONGA,17/03/2025,4.4,2.2, ,22.3,7.2,91,29,4.08,20.59
YARRAWONGA,18/03/2025,4.5,0.0, ,28.2,7.9,82,19,2.18,20.05
YARRAWONGA,19/03/2025,7.3,0.0, ,35.4,13.9,63,14,4.01,18.88
YARRAWONGA,20/03/2025,2.3,0.0, ,24.0,21.3,100,47,3.52,3.62
YARRAWONGA,21/03/2025,3.8,39.0, ,26.5,18.4,100,45,2.69,17.67
YARRAWONGA,22/03/2025,3.8,0.0, ,26.5,12.5,99,35,1.90,20.11
YARRAWONGA,23/03/2025,3.7,0.0, ,29.6,12.9,99,35,1.31,19.88
YARRAWONGA,24/03/2025,4.3,0.0, ,31.8,15.2,99,32,1.89,19.68
YARRAWONGA,25/03/2025,4.4,0.0, ,33.1,15.0,98,32,1.94,19.43
YARRAWONGA,26/03/2025, ,0.0, , ,17.6,89,32,2.00,17.85
YARRAWONGA,27/03/2025, , , ,32.0, ,94,27,2.17,19.13
YARRAWONGA,28/03/2025,3.4, , ,27.5,20.1,92,45,3.05,11.69
YARRAWONGA,29/03/2025,2.2,4.4, ,24.1,18.4,100,65,3.39,8.05
YARRAWONGA,30/03/2025,4.5,4.2, ,28.1,14.6,95,38,3.85,17.80
YARRAWONGA,31/03/2025,4.5,0.0, ,27.1,13.7,81,33,3.61,17.22
Totals:,,151.7,55.2, ,,,,,, 
